season,e024_gate,gw,movement,player_id,web_name,position,price,season_minutes,recent4_minutes,p_start,q,ctrl_mu,treat_mu,mu_lift,ctrl_u,treat_u,u_lift,v2b_mu_lift,delta_u_boundary,delta_mu_boundary,small_boundary,best_excluded_u,had_club_prior,new_club,actual_minutes,blank,actual_pts,mu_error,good_60,bad_60,vs_mean_leaver_pts
2022-23,FAIL,5,entered,457,Cresswell,DEF,49,360,360,0.72,1.0,2.2588,2.58,0.3212,2.2588,2.58,0.3212,0.3212,-1.596,-1.596,1,4.176,1,0,71.0,0,2.0,-0.58,1,0,-2.5455
2022-23,FAIL,5,entered,303,Mahrez,MID,77,152,152,0.72,1.0,2.6836,5.2708,2.5872,2.6836,5.2708,2.5872,2.5872,1.0948,1.0948,0,4.176,1,1,35.0,0,4.0,-1.2708,0,0,-0.5455
2022-23,FAIL,5,entered,463,Coufal,DEF,44,321,321,0.72,1.0,2.1928,2.4008,0.208,2.1928,2.4008,0.208,0.208,-1.7752,-1.7752,1,4.176,1,0,90.0,0,2.0,-0.4008,1,0,-2.5455
2022-23,FAIL,5,entered,465,Bowen,MID,82,354,354,0.72,1.0,2.724,3.8672,1.1432,2.724,3.8672,1.1432,1.1432,-0.3088,-0.3088,1,4.176,1,0,90.0,0,2.0,-1.8672,1,0,-2.5455
2022-23,FAIL,5,entered,279,Firmino,FWD,80,208,208,0.72,1.0,2.3972,3.5044,1.1072,2.3972,3.5044,1.1072,1.1072,-0.6716,-0.6716,1,4.176,1,1,90.0,0,9.0,5.4956,1,0,4.4545
2022-23,FAIL,5,entered,697,Sadi,FWD,45,0,0,0.1,0.0,0.4828,0.4828,0.0,0.4828,0.4828,0.0,0.0,-3.6932,-3.6932,1,4.176,0,1,0.0,1,0.0,-0.4828,0,0,-4.5455
2022-23,FAIL,5,entered,285,Alexander-Arnold,DEF,75,352,352,0.72,1.0,2.6452,3.2212,0.576,2.6452,3.2212,0.576,0.576,-0.9548,-0.9548,1,4.176,1,1,70.0,0,2.0,-1.2212,1,0,-2.5455
2022-23,FAIL,5,entered,255,Vardy,FWD,94,313,313,0.72,1.0,2.5452,3.7528,1.2076,2.5452,3.7528,1.2076,1.2076,-0.4232,-0.4232,1,4.176,1,1,86.0,0,2.0,-1.7528,1,0,-2.5455
2022-23,FAIL,5,left,288,Diogo Jota,FWD,89,2357,0,0.55,0.0,3.03,3.03,0.0,3.03,3.03,0.0,0.0,,,,,1,1,0.0,1,0.0,-3.03,0,0,
2022-23,FAIL,5,left,257,Amartey,DEF,45,332,332,0.72,1.0,2.3476,2.128,-0.2196,2.3476,2.128,-0.2196,-0.2196,,,,,1,1,0.0,1,0.0,-2.128,0,0,
2022-23,FAIL,5,left,258,Castagne,DEF,45,360,360,0.72,1.0,2.3148,2.2412,-0.0736,2.3148,2.2412,-0.0736,-0.0736,,,,,1,1,0.0,1,0.0,-2.2412,0,0,
2022-23,FAIL,5,left,235,Struijk,DEF,45,360,360,0.72,1.0,2.2872,2.3644,0.0772,2.2872,2.3644,0.0772,0.0772,,,,,1,1,90.0,0,4.0,1.6356,1,0,
2022-23,FAIL,5,left,301,De Bruyne,MID,122,355,355,0.72,1.0,3.414,4.176,0.762,3.414,4.176,0.762,0.762,,,,,1,1,21.0,0,1.0,-3.176,0,0,
2022-23,FAIL,5,left,210,Mitrović,FWD,67,360,360,0.72,1.0,2.5264,2.5264,0.0,2.5264,2.5264,0.0,0.0,,,,,0,1,90.0,0,9.0,6.4736,1,0,
2022-23,FAIL,5,left,211,Reed,MID,45,360,360,0.72,1.0,1.9184,1.9184,0.0,1.9184,1.9184,0.0,0.0,,,,,0,1,90.0,0,1.0,-0.9184,1,0,
2022-23,FAIL,5,left,116,Mac Allister,MID,55,360,360,0.72,1.0,2.3984,2.7676,0.3692,2.3984,2.7676,0.3692,0.3692,,,,,1,1,90.0,0,10.0,7.2324,1,0,
2022-23,FAIL,5,left,57,Smith,DEF,44,315,315,0.72,1.0,2.2512,2.2512,0.0,2.2512,2.2512,0.0,0.0,,,,,0,1,90.0,0,6.0,3.7488,1,0,
2022-23,FAIL,5,left,156,Ward,DEF,45,270,270,0.72,1.0,2.308,2.1672,-0.1408,2.308,2.1672,-0.1408,-0.1408,,,,,1,0,90.0,0,2.0,-0.1672,1,0,
2022-23,FAIL,5,left,318,Haaland,FWD,118,323,323,0.72,1.0,3.56,3.56,0.0,3.56,3.56,0.0,0.0,,,,,0,1,68.0,0,17.0,13.44,1,0,
2022-23,FAIL,6,entered,356,Wilson,FWD,73,244,155,0.72,1.0,2.5984,3.3292,0.7308,2.5984,3.3292,0.7308,0.7308,-0.3372,-0.3372,1,3.6664,1,1,0.0,1,0.0,-3.3292,0,0,-2.8889
2022-23,FAIL,6,entered,261,Maddison,MID,79,360,270,0.72,1.0,2.3492,3.4236,1.0744,2.3492,3.4236,1.0744,1.0744,-0.2428,-0.2428,1,3.6664,1,1,90.0,0,2.0,-1.4236,1,0,-0.8889
2022-23,FAIL,6,entered,357,Trippier,DEF,51,450,360,0.72,1.0,2.3332,3.6916,1.3584,2.3332,3.6916,1.3584,1.3584,0.0252,0.0252,1,3.6664,1,1,90.0,0,8.0,4.3084,1,0,5.1111
2022-23,FAIL,6,entered,303,Mahrez,MID,77,187,185,0.72,1.0,2.5668,4.3852,1.8184,2.5668,4.3852,1.8184,1.8184,0.7188,0.7188,0,3.6664,1,1,17.0,0,1.0,-3.3852,0,0,-1.8889
2022-23,FAIL,6,entered,145,Havertz,FWD,77,408,334,0.72,1.0,2.6248,3.2212,0.5964,2.6248,3.2212,0.5964,0.5964,-0.4452,-0.4452,1,3.6664,1,0,18.0,0,6.0,2.7788,0,0,3.1111
2022-23,FAIL,6,entered,435,Sánchez,DEF,44,270,270,0.72,1.0,2.2936,2.6924,0.3988,2.2936,2.6924,0.3988,0.3988,-0.974,-0.974,1,3.6664,1,1,0.0,1,0.0,-2.6924,0,0,-2.8889
2022-23,FAIL,6,entered,380,Lyle Taylor,FWD,44,0,0,0.1,0.0,0.4612,0.4612,0.0,0.4612,0.4612,0.0,0.0,-3.2052,-3.2052,1,3.6664,0,1,0.0,1,0.0,-0.4612,0,0,-2.8889
2022-23,FAIL,6,entered,477,Jonny,DEF,44,437,347,0.72,1.0,2.1752,2.7716,0.5964,2.1752,2.7716,0.5964,0.5964,-0.8948,-0.8948,1,3.6664,1,0,90.0,0,5.0,2.2284,1,0,2.1111
2022-23,FAIL,6,entered,446,Kulusevski,MID,82,417,332,0.72,1.0,2.6268,3.9188,1.292,2.6268,3.9188,1.292,1.292,0.2524,0.2524,0,3.6664,1,1,12.0,0,1.0,-2.9188,0,0,-1.8889
2022-23,FAIL,6,left,480,Neves,MID,55,450,360,0.72,1.0,2.608,2.768,0.16,2.608,2.768,0.16,0.16,,,,,1,0,90.0,0,2.0,-0.768,1,0,
2022-23,FAIL,6,left,288,Diogo Jota,FWD,89,2357,0,0.55,0.0,2.8292,2.8292,0.0,2.8292,2.8292,0.0,0.0,,,,,1,1,10.0,0,1.0,-1.8292,0,0,
2022-23,FAIL,6,left,64,Lerma,MID,50,450,360,0.72,1.0,2.252,2.252,0.0,2.252,2.252,0.0,0.0,,,,,0,1,90.0,0,2.0,-0.252,1,0,
2022-23,FAIL,6,left,104,Groß,MID,59,450,360,0.72,1.0,2.8824,3.1112,0.2288,2.8824,3.1112,0.2288,0.2288,,,,,1,1,90.0,0,5.0,1.8888,1,0,
2022-23,FAIL,6,left,106,Dunk,DEF,46,450,360,0.72,1.0,2.632,2.66,0.028,2.632,2.66,0.028,0.028,,,,,1,1,90.0,0,1.0,-1.66,1,0,
2022-23,FAIL,6,left,235,Struijk,DEF,45,450,360,0.72,1.0,2.3652,2.4356,0.0704,2.3652,2.4356,0.0704,0.0704,,,,,1,1,90.0,0,0.0,-2.4356,0,1,
2022-23,FAIL,6,left,427,Kane,FWD,114,450,360,0.72,1.0,3.2404,3.5756,0.3352,3.2404,3.5756,0.3352,0.3352,,,,,1,1,77.0,0,9.0,5.4244,1,0,
2022-23,FAIL,6,left,461,Zouma,DEF,45,450,360,0.72,1.0,2.3652,2.4992,0.134,2.3652,2.4992,0.134,0.134,,,,,1,0,90.0,0,1.0,-1.4992,1,0,
2022-23,FAIL,6,left,210,Mitrović,FWD,68,450,360,0.72,1.0,2.6796,2.6796,0.0,2.6796,2.6796,0.0,0.0,,,,,0,1,90.0,0,5.0,2.3204,1,0,
2022-23,FAIL,8,entered,16,Gabriel,DEF,51,540,270,0.72,1.0,2.3936,2.5736,0.18,2.3936,2.5736,0.18,0.18,-0.928,-0.928,1,3.5016,1,0,90.0,0,6.0,3.4264,1,0,3.75
2022-23,FAIL,8,entered,468,Soucek,MID,54,540,270,0.72,1.0,2.3036,2.3824,0.0788,2.3036,2.3824,0.0788,0.0788,-1.1192,-1.1192,1,3.5016,1,0,90.0,0,2.0,-0.3824,1,0,-0.25
2022-23,FAIL,8,entered,477,Jonny,DEF,44,527,270,0.72,1.0,2.1892,2.5996,0.4104,2.1892,2.5996,0.4104,0.4104,-0.902,-0.902,1,3.5016,1,0,90.0,0,1.0,-1.5996,1,0,-1.25
2022-23,FAIL,8,entered,182,Pickford,GKP,45,540,270,0.85,1.0,3.5936,3.54,-0.0536,3.5936,3.54,-0.0536,-0.0536,0.0384,0.0384,1,3.5016,1,0,0.0,1,0.0,-3.54,0,0,-2.25
2022-23,FAIL,8,left,480,Neves,MID,55,540,270,0.72,1.0,2.4304,2.5668,0.1364,2.4304,2.5668,0.1364,0.1364,,,,,1,0,90.0,0,1.0,-1.5668,1,0,
2022-23,FAIL,8,left,445,Emerson Royal,DEF,51,527,270,0.72,1.0,2.4252,2.4152,-0.01,2.4252,2.4152,-0.01,-0.01,,,,,1,1,35.0,0,1.0,-1.4152,0,0,
2022-23,FAIL,8,left,526,Mee,DEF,45,508,270,0.72,1.0,2.4876,2.4876,0.0,2.4876,2.4876,0.0,0.0,,,,,0,1,90.0,0,1.0,-1.4876,1,0,
2022-23,FAIL,8,left,31,Martínez,GKP,49,540,270,0.85,1.0,3.6156,3.5016,-0.114,3.6156,3.5016,-0.114,-0.114,,,,,1,0,90.0,0,6.0,2.4984,1,0,
2022-23,FAIL,9,entered,357,Trippier,DEF,54,630,270,0.72,1.0,2.2816,3.1428,0.8612,2.2816,3.1428,0.8612,0.8612,0.0116,0.0116,1,3.1312,1,1,82.0,0,7.0,3.8572,1,0,4.6667
2022-23,FAIL,9,entered,262,Iheanacho,FWD,62,170,101,0.45,1.0,1.6988,2.4824,0.7836,1.6988,2.4824,0.7836,0.7836,-0.6488,-0.6488,1,3.1312,1,1,0.0,1,0.0,-2.4824,0,0,-2.3333
2022-23,FAIL,9,entered,39,Mings,DEF,43,450,270,0.72,1.0,2.3444,2.508,0.1636,2.3444,2.508,0.1636,0.1636,-0.6232,-0.6232,1,3.1312,1,0,90.0,0,6.0,3.492,1,0,3.6667
2022-23,FAIL,9,left,356,Wilson,FWD,72,244,0,0.72,0.0,2.4396,2.9612,0.5216,2.4396,2.4396,0.0,0.5216,,,,,1,1,65.0,0,6.0,3.0388,1,0,
2022-23,FAIL,9,left,209,Tosin,DEF,45,630,270,0.72,1.0,2.4172,2.4172,0.0,2.4172,2.4172,0.0,0.0,,,,,0,1,90.0,0,0.0,-2.4172,0,1,
2022-23,FAIL,9,left,484,Kilman,DEF,45,630,270,0.72,1.0,2.3956,2.4464,0.0508,2.3956,2.4464,0.0508,0.0508,,,,,1,0,90.0,0,1.0,-1.4464,1,0,
2022-23,FAIL,11,entered,40,Watkins,FWD,72,744,270,0.72,1.0,2.38,2.6152,0.2352,2.38,2.6152,0.2352,0.2352,-0.8164,-0.8164,1,3.4316,1,0,90.0,0,2.0,-0.6152,1,0,1.5
2022-23,FAIL,11,entered,538,Young,DEF,44,334,270,0.72,1.0,2.286,2.4516,0.1656,2.286,2.4516,0.1656,0.1656,-0.98,-0.98,1,3.4316,1,0,90.0,0,1.0,-1.4516,1,0,0.5
2022-23,FAIL,11,left,617,Aubameyang,FWD,91,74,74,0.72,0.8222,2.4968,2.4968,0.0,2.4968,2.4968,0.0,0.0,,,,,0,1,57.0,0,1.0,-1.4968,0,0,
2022-23,FAIL,11,left,209,Tosin,DEF,45,810,270,0.72,1.0,2.3076,2.3076,0.0,2.3076,2.3076,0.0,0.0,,,,,0,1,0.0,1,0.0,-2.3076,0,0,
2022-23,FAIL,12,entered,261,Maddison,MID,82,804,354,0.72,1.0,2.4652,3.316,0.8508,2.4652,3.316,0.8508,0.8508,-0.1532,-0.1532,1,3.4692,1,1,0.0,1,0.0,-3.316,0,0,-5.2
2022-23,FAIL,12,entered,264,Barnes,MID,69,654,354,0.72,1.0,2.3324,3.2644,0.932,2.3324,3.2644,0.932,0.932,-0.2048,-0.2048,1,3.4692,1,1,84.0,0,8.0,4.7356,1,0,2.8
2022-23,FAIL,12,entered,366,Schär,DEF,48,802,352,0.72,1.0,2.4888,2.642,0.1532,2.4888,2.642,0.1532,0.1532,-0.8272,-0.8272,1,3.4692,1,1,90.0,0,5.0,2.358,1,0,-0.2
2022-23,FAIL,12,entered,465,Bowen,MID,82,894,360,0.72,1.0,2.4184,2.9556,0.5372,2.4184,2.9556,0.5372,0.5372,-0.5136,-0.5136,1,3.4692,1,0,90.0,0,0.0,-2.9556,0,1,-5.2
2022-23,FAIL,12,entered,84,Ajer,DEF,45,330,330,0.72,1.0,2.2476,2.5996,0.352,2.2476,2.5996,0.352,0.352,-0.8696,-0.8696,1,3.4692,1,1,0.0,1,0.0,-2.5996,0,0,-5.2
2022-23,FAIL,12,left,680,Gakpo,MID,76,0,0,0.72,0.0,2.7748,2.7748,0.0,2.7748,2.7748,0.0,0.0,,,,,0,1,0.0,1,0.0,-2.7748,0,0,
2022-23,FAIL,12,left,333,Fernandes,MID,98,809,270,0.72,1.0,2.544,2.5476,0.0036,2.544,2.5476,0.0036,0.0036,,,,,1,1,90.0,0,11.0,8.4524,1,0,
2022-23,FAIL,12,left,116,Mac Allister,MID,57,810,270,0.72,1.0,2.5092,2.824,0.3148,2.5092,2.824,0.3148,0.3148,,,,,1,1,90.0,0,2.0,-0.824,1,0,
2022-23,FAIL,12,left,342,Dalot,DEF,46,805,270,0.72,1.0,2.7348,2.5928,-0.142,2.7348,2.5928,-0.142,-0.142,,,,,1,1,90.0,0,6.0,3.4072,1,0,
2022-23,FAIL,12,left,377,Botman,DEF,44,631,270,0.72,1.0,2.5288,2.5288,0.0,2.5288,2.5288,0.0,0.0,,,,,0,1,90.0,0,7.0,4.4712,1,0,
2022-23,FAIL,13,entered,288,Diogo Jota,FWD,89,195,185,0.72,1.0,2.3296,3.1564,0.8268,2.3296,3.1564,0.8268,0.8268,-0.2012,-0.2012,1,3.3576,1,1,0.0,1,0.0,-3.1564,0,0,-4.0
2022-23,FAIL,13,entered,357,Trippier,DEF,57,975,345,0.72,1.0,2.4612,3.1132,0.652,2.4612,3.1132,0.652,0.652,-0.2444,-0.2444,1,3.3576,1,1,90.0,0,2.0,-1.1132,1,0,-2.0
2022-23,FAIL,13,entered,166,Edouard,FWD,54,594,312,0.72,1.0,1.8264,2.3456,0.5192,1.8264,2.3456,0.5192,0.5192,-1.012,-1.012,1,3.3576,1,0,90.0,0,2.0,-0.3456,1,0,-2.0
2022-23,FAIL,13,entered,171,Olise,MID,54,423,278,0.72,1.0,1.9216,2.7164,0.7948,1.9216,2.7164,0.7948,0.7948,-0.6412,-0.6412,1,3.3576,1,0,61.0,0,2.0,-0.7164,1,0,-2.0
2022-23,FAIL,13,entered,141,Chalobah,DEF,47,360,270,0.72,1.0,2.2536,2.9716,0.718,2.2536,2.9716,0.718,0.718,-0.386,-0.386,1,3.3576,1,0,90.0,0,2.0,-0.9716,1,0,-2.0
2022-23,FAIL,13,entered,81,Raya,GKP,46,990,360,0.85,1.0,3.47,3.4616,-0.0084,3.47,3.4616,-0.0084,-0.0084,0.104,0.104,1,3.3576,1,1,90.0,0,2.0,-1.4616,1,0,-2.0
2022-23,FAIL,13,entered,465,Bowen,MID,82,984,360,0.72,1.0,2.5352,3.18,0.6448,2.5352,3.18,0.6448,0.6448,-0.1776,-0.1776,1,3.3576,1,0,87.0,0,3.0,-0.18,1,0,-1.0
