season,e024_gate,gw,portfolio_bad,portfolio_good,delta_cap,delta_u_pred,budget_opp_cost,replacement_value,positional_scarcity,bench_mass_delta,n_squad_changes,squad_overlap,g_treat,near_tie_frac,mean_vs_leaver_pts,n_swap_pairs
2022-23,FAIL,18,0,1,4.0,2.4592,-1.1667,-0.4955,-0.0085,0.0488,4,0.7333,1.138,0.6667,0.0,6
2022-23,FAIL,19,0,1,0.0,1.4332,0,1.3927,-0.0212,-0.0752,3,0.8,0.4323,0.6667,-1.0,3
2022-23,FAIL,20,1,0,-3.0,3.4716,-1.8333,1.3761,-0.0151,-0.7644,6,0.6,0.1999,0,-2.5833,12
2022-23,FAIL,21,0,1,3.0,4.1752,-3.1,0.2117,0.0116,1.44,8,0.4667,0.4854,0.35,0.35,20
2022-23,FAIL,22,1,0,-1.0,2.6688,13.8,1.9672,-0.0232,0.3688,3,0.8,0.2341,0.6,-0.2,5
2022-23,FAIL,23,1,0,-11.0,7.406,-1,1.9267,-0.0304,-0.282,6,0.6,0.6025,0.4286,-2.2857,14
2022-23,FAIL,24,1,0,-20.0,1.9092,-1.5556,-0.1135,0.006,0.7036,5,0.6667,1.0177,0.8889,-5.0,9
2022-23,FAIL,25,1,0,-12.0,2.5148,-4,0.0328,0.0166,0.44,2,0.8667,0.6277,0,0.0,2
2022-23,FAIL,26,1,0,-15.0,1.4312,-0.9,0.1179,0.0089,1.1524,6,0.6,0.8365,0.3,0.0,10
2022-23,FAIL,27,0,1,2.0,0.774,-16.1667,0.1223,-0.0169,1.1852,4,0.7333,0.1697,0.5,-5.1667,6
2022-23,FAIL,28,0,1,0.0,0.5452,-13,-0.0048,-0.0178,0.0308,1,0.9333,0.0025,1,-3.0,1
2022-23,FAIL,29,1,0,-4.0,0.7024,-3,-0.298,-0.0494,0.3784,2,0.8667,0.4997,0.5,-2.0,2
2022-23,FAIL,30,0,1,1.0,0.1936,-3.4286,0.1658,-0.0231,0.7308,5,0.6667,0.2672,0.1429,0.1429,7
2022-23,FAIL,31,0,1,0.0,0.4576,0.0,0.0,0.0,0.1812,0,1.0,0.0,0.0,,0
2022-23,FAIL,32,0,1,11.0,0.3152,0.5,-0.0644,-0.0122,-0.164,2,0.8667,0.2577,0.5,5.5,2
2022-23,FAIL,33,1,0,-20.0,0.3364,5.8,-0.0441,-0.0077,0.2988,3,0.8,0.1304,0.4,-0.8,5
2022-23,FAIL,34,0,1,0.0,1.4176,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,,0
2022-23,FAIL,35,0,1,4.0,0.3864,6,0.0021,0.0395,1.2324,5,0.6667,0.4614,0.1429,3.0,7
2022-23,FAIL,36,0,1,18.0,0.0496,2.2,1.5575,0.0089,0.1968,3,0.8,0.0426,0.2,5.0,5
2022-23,FAIL,37,0,1,0.0,0.0,0.0,0.0,0.0,-0.0392,0,1.0,0.0,0.0,,0
2022-23,FAIL,38,0,1,0.0,0.0,0.0,0.0,0.0,-0.0492,0,1.0,0.0,0.0,,0
2023-24,PASS,1,1,0,-3.0,5.6388,-1.1111,0.6562,0.0044,3.428,5,0.6667,1.3567,0.2222,0.4444,9
2023-24,PASS,2,0,1,9.0,2.6208,0.1538,0.6547,0.0049,1.3292,7,0.5333,1.1984,0.2308,0.9231,13
2023-24,PASS,3,0,1,14.0,3.5048,0.3333,0.3411,-0.0911,-1.8792,6,0.6,1.9425,0.25,2.0,12
2023-24,PASS,4,0,1,8.0,3.752,-3.5,0.1324,-0.0115,0.4744,4,0.7333,0.2961,1,-1.3333,6
2023-24,PASS,5,0,1,7.0,4.314,3.0435,-0.0328,-0.0203,0.6016,9,0.4,1.7429,0.6087,2.1304,23
2023-24,PASS,6,0,1,12.0,1.5756,-0.25,0.5944,0.0636,2.7336,4,0.7333,0.5845,0.125,3.0,8
2023-24,PASS,7,1,0,-5.0,1.9284,6,-0.1337,-0.0152,1.022,6,0.6,0.7246,0.6429,-3.1429,14
2023-24,PASS,8,0,1,8.0,2.4108,-0.75,0.1287,-0.0664,-0.526,4,0.7333,0.6504,0.25,1.25,4
2023-24,PASS,9,0,1,6.0,2.9248,4.7143,0.3299,0.0216,2.58,7,0.5333,1.047,0.2381,2.381,21
2023-24,PASS,10,1,0,-11.0,1.1884,0,0.2852,0.0772,3.8036,6,0.6,0.1637,0.1667,-2.0,12
2023-24,PASS,11,0,1,14.0,1.8944,4,0.246,-0.0355,-0.1872,6,0.6,0.5703,0.25,3.1667,12
2023-24,PASS,12,1,0,-13.0,1.3912,2.3333,0.2015,-0.0177,0.098,4,0.7333,0.3267,0.1667,-1.6667,6
2023-24,PASS,13,0,1,2.0,1.1264,-0.3333,0.2468,-0.0144,0.4292,3,0.8,0.2953,0.6667,0.6667,3
2023-24,PASS,14,1,0,-3.0,0.726,-1.5,0.5092,-0.0573,-0.61,4,0.7333,0.2816,0.1667,0.1667,6
2023-24,PASS,15,0,1,6.0,1.4436,-0.75,0.0983,0.0281,2.4488,4,0.7333,0.4519,0,2.0,4
2023-24,PASS,16,0,1,4.0,1.2736,-1.5,0.4374,-0.067,-0.2988,2,0.8667,0.2512,0.5,2.0,2
2023-24,PASS,17,0,1,0.0,1.06,-1,1.5128,-0.0432,0.2364,1,0.9333,0.0024,0,1.0,1
2023-24,PASS,18,0,1,1.0,1.2612,-0.6667,0.1413,-0.0074,0.2896,3,0.8,0.0701,0.6667,0.6667,3
2023-24,PASS,19,0,1,7.0,0.5448,3.8571,-0.0205,-0.0155,0.1036,5,0.6667,0.2815,0.1429,2.7143,7
2023-24,PASS,20,0,1,5.0,0.4996,-0.8,0.4154,0.0444,1.6112,4,0.7333,0.1481,0.3,1.6,10
2023-24,PASS,21,1,0,-3.0,0.3036,-1,0.0134,0.0037,0.1684,2,0.8667,0.0412,1,-2.5,2
2023-24,PASS,22,0,1,0.0,0.69,0.0,0.0,0.0,0.2552,0,1.0,-0.0,0.0,,0
2023-24,PASS,23,0,1,0.0,0.2928,-3,0.1184,-0.0067,0.6216,2,0.8667,0.0804,1,7.5,2
2023-24,PASS,24,0,1,7.0,0.4452,-0.8,0.4014,-0.0273,-0.236,6,0.6,0.632,0.6,3.2,10
2023-24,PASS,25,0,1,0.0,1.0432,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,,0
2023-24,PASS,26,0,1,0.0,0.0872,0.0,0.0,0.0,0.0516,0,1.0,0.0,0.0,,0
2023-24,PASS,27,0,1,0.0,0.2712,0.0,0.0,0.0,0.0108,0,1.0,0.0,0.0,,0
2023-24,PASS,28,0,1,0.0,0.0143,0.0,0.0,0.0,-0.0376,0,1.0,0.0,0.0,,0
2023-24,PASS,29,0,1,0.0,0.0,32,0.0536,-0.0265,0.014,1,0.9333,0.0017,1,-7.0,1
2023-24,PASS,30,0,1,0.0,0.0,0.0,0.0,0.0,0.09,0,1.0,0.0,0.0,,0
2023-24,PASS,31,0,1,0.0,0.1048,0,0.4868,-0.0036,-0.0628,1,0.9333,0.0013,1,0.0,1
2023-24,PASS,32,0,1,0.0,0.0196,0.0,0.0,0.0,0.0216,0,1.0,0.0,0.0,,0
2023-24,PASS,33,0,1,0.0,0.0736,0.0,0.0,0.0,0.0028,0,1.0,0.0,0.0,,0
2023-24,PASS,34,0,1,0.0,0.1656,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,,0
2023-24,PASS,35,0,1,0.0,0.0,0.0,0.0,0.0,0.0056,0,1.0,0.0,0.0,,0
2023-24,PASS,36,0,1,0.0,0.0488,0.0,0.0,0.0,-0.1652,0,1.0,0.0,0.0,,0
2023-24,PASS,37,0,1,0.0,0.0,0.0,0.0,0.0,0.0092,0,1.0,0.0,0.0,,0
2023-24,PASS,38,0,1,0.0,0.0748,0.0,0.0,0.0,-0.0124,0,1.0,0.0,0.0,,0
2024-25,PASS,1,0,1,8.0,7.8932,3.8889,0.7105,0.0595,2.1132,5,0.6667,0.9289,0.1111,2.2222,9
2024-25,PASS,2,0,1,8.0,3.0328,1.1429,1.2366,-0.0323,-1.8204,5,0.6667,0.7449,0.2857,1.5714,7
2024-25,PASS,3,1,0,-10.0,3.6832,-7.8889,0.4374,0.0312,3.8652,5,0.6667,0.7655,0.1111,-2.1111,9
2024-25,PASS,4,1,0,-8.0,2.2748,-5.1667,-0.4169,-0.0066,0.1796,4,0.7333,1.6497,0.8333,0.5,6
2024-25,PASS,5,0,1,11.0,5.8512,1.4286,0.1602,-0.0132,0.2676,6,0.6,1.501,0.5,2.0714,14
2024-25,PASS,6,0,1,20.0,4.0704,3,0.3863,0.0771,2.7124,6,0.6,0.9622,0.4,0.7,10
2024-25,PASS,7,1,0,-1.0,3.2832,-1.2857,0.265,-0.0595,-0.6436,5,0.6667,0.4442,0.2857,-0.4286,7
2024-25,PASS,8,0,1,2.0,4.1444,-1.1111,0.161,0.0775,3.4856,5,0.6667,1.3651,0.2222,0.8889,9
2024-25,PASS,9,0,1,10.0,3.2464,-0.5,0.4732,-0.0205,-0.1352,2,0.8667,0.0736,0.5,3.0,4
2024-25,PASS,10,0,1,0.0,4.4248,0,-0.0621,0.0222,1.0412,6,0.6,0.9616,0.3,3.3,10
2024-25,PASS,11,1,0,-15.0,3.3724,2.8,0.0469,-0.0364,-0.3644,3,0.8,0.7522,0,-4.6,5
2024-25,PASS,12,0,1,6.0,2.5148,0.5,0.4538,0.0174,0.226,2,0.8667,0.0563,0.5,2.0,2
2024-25,PASS,13,0,1,0.0,2.388,1.5,0.1116,0.0655,3.134,4,0.7333,0.2631,0.5,-1.3333,6
2024-25,PASS,14,0,1,15.0,2.4768,-0.2,0.6382,0.0016,0.3552,6,0.6,0.731,0.5,0.4,10
2024-25,PASS,15,0,1,20.0,2.0384,-3.4,1.0777,0.0131,0.2796,3,0.8,0.0461,0.6,3.0,5
2024-25,PASS,16,1,0,-11.0,2.6804,-3,0.5192,0.0205,0.336,5,0.6667,0.9532,0.7143,-2.1429,7
2024-25,PASS,17,1,0,-1.0,1.9302,0.3333,0.3,-0.0435,-0.6452,3,0.8,0.0052,0.4444,-1.3333,9
2024-25,PASS,18,0,1,1.0,2.2172,-0.5,-0.1006,-0.0005,0.3964,2,0.8667,0.6094,0.5,3.0,2
2024-25,PASS,19,0,1,9.0,0.8076,3.8333,0.3617,0.0433,0.8888,4,0.7333,0.0441,0.1667,2.6667,6
2024-25,PASS,20,1,0,-2.0,1.1684,-0.5,1.4626,-0.0274,0.0536,2,0.8667,0.2477,0.5,-1.0,2
2024-25,PASS,21,0,1,0.0,0.6796,1.8571,0.1268,0.0226,1.0716,5,0.6667,0.1794,0.4286,0.2857,7
2024-25,PASS,22,1,0,-13.0,-0.1592,1.25,0.3165,0.0927,2.7392,4,0.7333,0.0573,0.25,-3.25,4
2024-25,PASS,23,1,0,-1.0,0.5236,-1,1.1196,-0.069,0.17,1,0.9333,0.0338,0,-1.0,1
2024-25,PASS,24,1,0,-3.0,0.5136,0.25,1.4484,0.0725,1.6748,4,0.7333,0.1552,0,-3.5,8
2024-25,PASS,25,0,1,0.0,0.4268,0,2.8704,-0.0037,0.054,1,0.9333,0.0096,1,0.0,1
2024-25,PASS,26,0,1,17.0,0.5348,0,0.0627,0.0041,0.3824,4,0.7333,0.463,0.5,4.25,4
2024-25,PASS,27,0,1,0.0,0.0,0.0,0.0,0.0,0.0364,0,1.0,0.0,0.0,,0
2024-25,PASS,28,1,0,-6.0,-0.01,-0.8889,0.7968,0.0368,1.4684,5,0.6667,0.1674,0.4444,3.1111,9
2024-25,PASS,29,0,1,2.0,0.3192,-0.3333,-0.0787,-0.0224,0.3428,3,0.8,0.3219,0.3333,1.0,3
2024-25,PASS,30,0,1,1.0,-0.1172,-1.2857,0.6934,0.005,1.7632,5,0.6667,0.1084,0.1429,-3.1429,7
2024-25,PASS,31,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,,0
2024-25,PASS,32,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,,0
2024-25,PASS,33,0,1,0.0,0.0692,0.0,0.0,0.0,-0.036,0,1.0,0.0,0.0,,0
2024-25,PASS,34,0,1,2.0,0.0228,0,-0.0049,0.0226,0.5076,3,0.8,0.0647,0.3333,-3.3333,3
2024-25,PASS,35,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,,0
2024-25,PASS,36,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,,0
2024-25,PASS,37,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,,0
2024-25,PASS,38,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,,0
2025-26,FAIL,1,1,0,-3.0,6.5924,-1.7143,0.8303,-0.1795,-0.19,6,0.6,1.085,0.4286,-0.9286,14
2025-26,FAIL,2,0,1,2.0,0.6896,0.1429,0.882,0.0697,1.5872,6,0.6,0.3154,0.1429,0.1429,14
2025-26,FAIL,3,1,0,-3.0,0.8028,2.8333,0.209,0.0711,4.0792,4,0.7333,0.1106,0,-2.0,6
2025-26,FAIL,4,0,1,6.0,2.356,3,0.2506,-0.0514,-0.5032,4,0.7333,0.4644,0.5,2.25,4
2025-26,FAIL,5,1,0,-5.0,2.25,3.7143,0.2938,-0.0265,0.1552,5,0.6667,0.5014,0.5714,0.0,7
2025-26,FAIL,6,1,0,-6.0,1.8024,-0.8333,0.5592,-0.0182,0.772,4,0.7333,0.2667,0.5,-5.1667,6
2025-26,FAIL,7,1,0,-4.0,1.7294,-1.1,0.3785,-0.0231,0.1228,6,0.6,0.5054,0.2,-0.9,10
2025-26,FAIL,8,0,1,5.0,1.472,-1.8333,0.1387,-0.0151,0.71,4,0.7333,0.5875,0.3333,0.0,6
2025-26,FAIL,9,0,1,3.0,1.4753,-1.1667,1.0186,-0.1155,-0.8376,4,0.7333,0.1469,0,2.8333,6
2025-26,FAIL,10,1,0,-8.0,2.1412,0.6667,0.0806,-0.0068,0.8676,4,0.7333,1.0596,0.5,1.3333,6
2025-26,FAIL,11,0,1,24.0,0.8572,0,0.1648,-0.0152,0.2984,4,0.7333,0.4914,0.5,5.0,8
2025-26,FAIL,12,0,1,1.0,1.0852,-1.5,0.2626,0.0095,0.7948,4,0.7333,0.7047,0.5,0.8333,6
2025-26,FAIL,13,1,0,-12.0,1.1284,-1,0.2619,-0.0297,0.038,3,0.8,0.3043,0.6667,-1.6667,3
2025-26,FAIL,14,0,1,0.0,0.924,3.8571,0.1718,0.0234,1.3068,5,0.6667,0.2419,0.5714,-0.1429,7
2025-26,FAIL,15,0,1,4.0,1.5718,2.4286,0.0389,-0.0132,-0.3108,6,0.6,0.2628,0.4286,0.4286,14
2025-26,FAIL,16,1,0,-2.0,0.75,-3.1667,-0.148,-0.0074,1.2844,4,0.7333,0.2936,0.3333,-1.0,6
2025-26,FAIL,17,0,1,5.0,1.2096,0.25,0.3195,-0.0274,-0.7828,4,0.7333,0.1435,0.25,-1.5,8
2025-26,FAIL,18,1,0,-7.0,0.204,0,0.1836,-0.0017,-0.238,4,0.7333,0.0884,0.8333,-0.8333,6
2025-26,FAIL,19,1,0,-6.0,0.4556,-1,0.1213,-0.0035,0.1884,4,0.7333,0.0344,0.75,-1.75,4
2025-26,FAIL,20,0,1,10.0,0.5324,-2,0.1324,0.0066,1.1568,5,0.6667,0.2513,0.5556,2.1111,9
2025-26,FAIL,21,1,0,-15.0,0.636,-2,0.0036,-0.0132,0.038,1,0.9333,0.0576,1,-5.0,1
2025-26,FAIL,22,1,0,-1.0,0.6184,-1.4,0.0904,-0.0108,-0.2188,3,0.8,0.3073,0.6,-0.6,5
2025-26,FAIL,23,0,1,3.0,0.744,0.0,0.0,0.0,-0.1064,0,1.0,0.0,0.0,,0
2025-26,FAIL,24,0,1,0.0,0.0444,0.0,0.0,0.0,0.004,0,1.0,0.0,0.0,,0
2025-26,FAIL,25,1,0,-3.0,0.4032,3.2,0.002,0.0152,0.46,3,0.8,0.3567,0.8,-4.6,5
2025-26,FAIL,26,0,1,1.0,0.1544,0,-0.0548,-0.0037,0.0,1,0.9333,0.0482,1,1.0,1
2025-26,FAIL,27,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,,0
2025-26,FAIL,28,1,0,-1.0,0.102,0.3333,0.2292,-0.0463,-0.27,3,0.8,0.0239,0.6667,-2.0,3
2025-26,FAIL,29,0,1,0.0,0.0,0.0,0.0,0.0,0.0048,0,1.0,0.0,0.0,,0
2025-26,FAIL,30,0,1,0.0,0.2496,2.5,0.6295,-0.0475,-1.8292,4,0.7333,0.0001,0.1667,-1.5,6
2025-26,FAIL,31,0,1,1.0,0.0968,49,-0.0288,-0.0053,0.0,1,0.9333,0.0253,1,1.0,1
2025-26,FAIL,32,1,0,-2.0,0.3088,0,0.6657,-0.0484,-2.0676,4,0.7333,0.0236,0.125,-6.0,8
2025-26,FAIL,33,0,1,0.0,0.3836,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,,0
2025-26,FAIL,34,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,,0
2025-26,FAIL,35,0,1,0.0,-0.07,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,,0
2025-26,FAIL,36,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,,0
2025-26,FAIL,37,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,,0
2025-26,FAIL,38,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,,0
