season,e024_gate,season_gate,gw,swap_set,enter_id,enter_name,enter_pos,left_id,left_name,left_pos,ctrl_margin,abs_ctrl_margin,gap_bucket,ctrl_rank_dist,treat_lift,ctrl_mu_enter,ctrl_mu_left,treat_mu_enter,enter_mins,left_mins,enter_pts,left_pts,both60,bad_swap,bound,gw_u0_slack,epsilon,globally_admissible
2022-23,FAIL,both,3,ctrl_treat,255,Vardy,FWD,585,Dennis,FWD,-0.8452,0.8452,large,20,1.25,2.778,3.6232,4.028,64.0,0.0,2.0,0.0,0,0,1,0.6499,0.79096,1
2022-23,FAIL,both,3,ctrl_treat,255,Vardy,FWD,110,Maupay,FWD,-0.5816,0.5816,mid,16,1.25,2.778,3.3596,4.028,64.0,0.0,2.0,0.0,0,0,1,0.6499,0.79096,1
2022-23,FAIL,both,3,ctrl_treat,261,Maddison,MID,283,Salah,MID,-0.6188,0.6188,mid,18,1.4832,2.7584,3.3772,4.2416,90.0,90.0,7.0,8.0,1,1,1,0.6499,0.79096,1
2022-23,FAIL,both,3,ctrl_treat,261,Maddison,MID,465,Bowen,MID,-0.2024,0.2024,near,7,1.4832,2.7584,2.9608,4.2416,90.0,90.0,7.0,2.0,1,0,1,0.6499,0.79096,1
2022-23,FAIL,both,3,ctrl_treat,446,Kulusevski,MID,283,Salah,MID,-0.6312,0.6312,mid,20,1.6212,2.746,3.3772,4.3672,85.0,90.0,3.0,8.0,1,1,1,0.6499,0.79096,1
2022-23,FAIL,both,3,ctrl_treat,446,Kulusevski,MID,465,Bowen,MID,-0.2148,0.2148,near,9,1.6212,2.746,2.9608,4.3672,85.0,90.0,3.0,2.0,1,0,1,0.6499,0.79096,1
2022-23,FAIL,both,3,ctrl_treat,303,Mahrez,MID,283,Salah,MID,-0.7164,0.7164,mid,24,1.944,2.6608,3.3772,4.6048,0.0,90.0,0.0,8.0,0,0,1,0.6499,0.79096,1
2022-23,FAIL,both,3,ctrl_treat,303,Mahrez,MID,465,Bowen,MID,-0.3,0.3,mid,13,1.944,2.6608,2.9608,4.6048,0.0,90.0,0.0,2.0,0,0,1,0.6499,0.79096,1
2022-23,FAIL,both,3,ctrl_pack1,427,Kane,FWD,110,Maupay,FWD,0.0756,0.0756,near,-2,0.378,3.4352,3.3596,3.8132,90.0,0.0,6.0,0.0,0,0,1,0.6499,0.79096,1
2022-23,FAIL,both,3,ctrl_pack1,303,Mahrez,MID,283,Salah,MID,-0.7164,0.7164,mid,24,1.944,2.6608,3.3772,4.6048,0.0,90.0,0.0,8.0,0,0,1,0.6499,0.79096,1
2022-23,FAIL,both,3,treat_pack1,585,Dennis,FWD,255,Vardy,FWD,0.8452,0.8452,large,-20,0.0,3.6232,2.778,3.6232,0.0,64.0,0.0,2.0,0,0,1,0.6499,0.79096,1
2022-23,FAIL,both,3,treat_pack1,427,Kane,FWD,255,Vardy,FWD,0.6572,0.6572,mid,-18,0.378,3.4352,2.778,3.8132,90.0,64.0,6.0,2.0,1,0,1,0.6499,0.79096,1
2022-23,FAIL,both,3,treat_pack1,465,Bowen,MID,261,Maddison,MID,0.2024,0.2024,near,-7,1.3436,2.9608,2.7584,4.3044,90.0,90.0,2.0,7.0,1,1,1,0.6499,0.79096,1
2022-23,FAIL,both,3,treat_pack1,465,Bowen,MID,446,Kulusevski,MID,0.2148,0.2148,near,-9,1.3436,2.9608,2.746,4.3044,90.0,85.0,2.0,3.0,1,1,1,0.6499,0.79096,1
2022-23,FAIL,both,4,ctrl_treat,465,Bowen,MID,300,Gündogan,MID,-0.0452,0.0452,near,2,1.0044,2.5748,2.62,3.5792,90.0,29.0,3.0,4.0,0,0,1,0.273,0.79096,1
2022-23,FAIL,both,4,ctrl_treat,465,Bowen,MID,301,De Bruyne,MID,-0.97,0.97,large,30,1.0044,2.5748,3.5448,3.5792,90.0,88.0,3.0,2.0,1,0,1,0.273,0.79096,1
2022-23,FAIL,both,4,ctrl_treat,314,Foden,MID,300,Gündogan,MID,0.0644,0.0644,near,-4,0.8644,2.6844,2.62,3.5488,90.0,29.0,4.0,4.0,0,0,1,0.273,0.79096,1
2022-23,FAIL,both,4,ctrl_treat,314,Foden,MID,301,De Bruyne,MID,-0.8604,0.8604,large,24,0.8644,2.6844,3.5448,3.5488,90.0,88.0,4.0,2.0,1,0,1,0.273,0.79096,1
2022-23,FAIL,both,4,ctrl_treat,446,Kulusevski,MID,300,Gündogan,MID,-0.2016,0.2016,near,11,1.1856,2.4184,2.62,3.604,82.0,29.0,6.0,4.0,0,0,1,0.273,0.79096,1
2022-23,FAIL,both,4,ctrl_treat,446,Kulusevski,MID,301,De Bruyne,MID,-1.1264,1.1264,large,39,1.1856,2.4184,3.5448,3.604,82.0,88.0,6.0,2.0,1,0,1,0.273,0.79096,1
2022-23,FAIL,both,4,ctrl_treat,518,Hennessey,GKP,81,Raya,GKP,-0.036,0.036,near,1,0.0,3.3136,3.3496,3.3136,0.0,90.0,0.0,6.0,0,0,1,0.273,0.79096,1
2022-23,FAIL,both,4,ctrl_pack1,446,Kulusevski,MID,300,Gündogan,MID,-0.2016,0.2016,near,11,1.1856,2.4184,2.62,3.604,82.0,29.0,6.0,4.0,0,0,1,0.273,0.79096,1
2022-23,FAIL,both,4,ctrl_pack1,518,Hennessey,GKP,81,Raya,GKP,-0.036,0.036,near,1,0.0,3.3136,3.3496,3.3136,0.0,90.0,0.0,6.0,0,0,1,0.273,0.79096,1
2022-23,FAIL,both,4,treat_pack1,301,De Bruyne,MID,465,Bowen,MID,0.97,0.97,large,-30,0.824,3.5448,2.5748,4.3688,88.0,90.0,2.0,3.0,1,1,1,0.273,0.79096,1
2022-23,FAIL,both,4,treat_pack1,301,De Bruyne,MID,314,Foden,MID,0.8604,0.8604,large,-24,0.824,3.5448,2.6844,4.3688,88.0,90.0,2.0,4.0,1,1,1,0.273,0.79096,1
2022-23,FAIL,both,5,ctrl_treat,261,Maddison,MID,301,De Bruyne,MID,-0.8284,0.8284,large,29,1.4424,2.5856,3.414,4.028,90.0,21.0,1.0,1.0,0,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_treat,261,Maddison,MID,116,Mac Allister,MID,0.1872,0.1872,near,-7,1.4424,2.5856,2.3984,4.028,90.0,90.0,1.0,10.0,1,1,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_treat,303,Mahrez,MID,301,De Bruyne,MID,-0.7304,0.7304,mid,21,2.5872,2.6836,3.414,5.2708,35.0,21.0,4.0,1.0,0,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_treat,303,Mahrez,MID,116,Mac Allister,MID,0.2852,0.2852,mid,-15,2.5872,2.6836,2.3984,5.2708,35.0,90.0,4.0,10.0,0,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_treat,465,Bowen,MID,301,De Bruyne,MID,-0.69,0.69,mid,17,1.1432,2.724,3.414,3.8672,90.0,21.0,2.0,1.0,0,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_treat,465,Bowen,MID,116,Mac Allister,MID,0.3256,0.3256,mid,-19,1.1432,2.724,2.3984,3.8672,90.0,90.0,2.0,10.0,1,1,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_treat,357,Trippier,DEF,257,Amartey,DEF,-0.2708,0.2708,mid,42,1.0772,2.0768,2.3476,3.154,90.0,0.0,0.0,0.0,0,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_treat,357,Trippier,DEF,258,Castagne,DEF,-0.238,0.238,near,41,1.0772,2.0768,2.3148,3.154,90.0,0.0,0.0,0.0,0,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_treat,357,Trippier,DEF,156,Ward,DEF,-0.2312,0.2312,near,39,1.0772,2.0768,2.308,3.154,90.0,90.0,0.0,2.0,1,1,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_treat,457,Cresswell,DEF,257,Amartey,DEF,-0.0888,0.0888,near,10,0.3212,2.2588,2.3476,2.58,71.0,0.0,2.0,0.0,0,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_treat,457,Cresswell,DEF,258,Castagne,DEF,-0.056,0.056,near,9,0.3212,2.2588,2.3148,2.58,71.0,0.0,2.0,0.0,0,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_treat,457,Cresswell,DEF,156,Ward,DEF,-0.0492,0.0492,near,7,0.3212,2.2588,2.308,2.58,71.0,90.0,2.0,2.0,1,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_treat,285,Alexander-Arnold,DEF,257,Amartey,DEF,0.2976,0.2976,mid,-18,0.576,2.6452,2.3476,3.2212,70.0,0.0,2.0,0.0,0,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_treat,285,Alexander-Arnold,DEF,258,Castagne,DEF,0.3304,0.3304,mid,-19,0.576,2.6452,2.3148,3.2212,70.0,0.0,2.0,0.0,0,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_treat,285,Alexander-Arnold,DEF,156,Ward,DEF,0.3372,0.3372,mid,-21,0.576,2.6452,2.308,3.2212,70.0,90.0,2.0,2.0,1,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_treat,279,Firmino,FWD,288,Diogo Jota,FWD,-0.6328,0.6328,mid,30,1.1072,2.3972,3.03,3.5044,90.0,0.0,9.0,0.0,0,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_treat,279,Firmino,FWD,210,Mitrović,FWD,-0.1292,0.1292,near,3,1.1072,2.3972,2.5264,3.5044,90.0,90.0,9.0,9.0,1,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_treat,279,Firmino,FWD,318,Haaland,FWD,-1.1628,1.1628,large,40,1.1072,2.3972,3.56,3.5044,90.0,68.0,9.0,17.0,1,1,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_treat,255,Vardy,FWD,288,Diogo Jota,FWD,-0.4848,0.4848,mid,25,1.2076,2.5452,3.03,3.7528,86.0,0.0,2.0,0.0,0,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_treat,255,Vardy,FWD,210,Mitrović,FWD,0.0188,0.0188,near,-2,1.2076,2.5452,2.5264,3.7528,86.0,90.0,2.0,9.0,1,1,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_treat,255,Vardy,FWD,318,Haaland,FWD,-1.0148,1.0148,large,35,1.2076,2.5452,3.56,3.7528,86.0,68.0,2.0,17.0,1,1,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_pack1,261,Maddison,MID,301,De Bruyne,MID,-0.8284,0.8284,large,29,1.4424,2.5856,3.414,4.028,90.0,21.0,1.0,1.0,0,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_pack1,261,Maddison,MID,116,Mac Allister,MID,0.1872,0.1872,near,-7,1.4424,2.5856,2.3984,4.028,90.0,90.0,1.0,10.0,1,1,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_pack1,303,Mahrez,MID,301,De Bruyne,MID,-0.7304,0.7304,mid,21,2.5872,2.6836,3.414,5.2708,35.0,21.0,4.0,1.0,0,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_pack1,303,Mahrez,MID,116,Mac Allister,MID,0.2852,0.2852,mid,-15,2.5872,2.6836,2.3984,5.2708,35.0,90.0,4.0,10.0,0,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_pack1,465,Bowen,MID,301,De Bruyne,MID,-0.69,0.69,mid,17,1.1432,2.724,3.414,3.8672,90.0,21.0,2.0,1.0,0,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_pack1,465,Bowen,MID,116,Mac Allister,MID,0.3256,0.3256,mid,-19,1.1432,2.724,2.3984,3.8672,90.0,90.0,2.0,10.0,1,1,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_pack1,357,Trippier,DEF,257,Amartey,DEF,-0.2708,0.2708,mid,42,1.0772,2.0768,2.3476,3.154,90.0,0.0,0.0,0.0,0,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_pack1,357,Trippier,DEF,258,Castagne,DEF,-0.238,0.238,near,41,1.0772,2.0768,2.3148,3.154,90.0,0.0,0.0,0.0,0,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_pack1,357,Trippier,DEF,156,Ward,DEF,-0.2312,0.2312,near,39,1.0772,2.0768,2.308,3.154,90.0,90.0,0.0,2.0,1,1,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_pack1,235,Struijk,DEF,257,Amartey,DEF,-0.0604,0.0604,near,7,0.0772,2.2872,2.3476,2.3644,90.0,0.0,4.0,0.0,0,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_pack1,235,Struijk,DEF,258,Castagne,DEF,-0.0276,0.0276,near,6,0.0772,2.2872,2.3148,2.3644,90.0,0.0,4.0,0.0,0,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_pack1,235,Struijk,DEF,156,Ward,DEF,-0.0208,0.0208,near,4,0.0772,2.2872,2.308,2.3644,90.0,90.0,4.0,2.0,1,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_pack1,463,Coufal,DEF,257,Amartey,DEF,-0.1548,0.1548,near,26,0.208,2.1928,2.3476,2.4008,90.0,0.0,2.0,0.0,0,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_pack1,463,Coufal,DEF,258,Castagne,DEF,-0.122,0.122,near,25,0.208,2.1928,2.3148,2.4008,90.0,0.0,2.0,0.0,0,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,ctrl_pack1,463,Coufal,DEF,156,Ward,DEF,-0.1152,0.1152,near,23,0.208,2.1928,2.308,2.4008,90.0,90.0,2.0,2.0,1,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,treat_pack1,288,Diogo Jota,FWD,255,Vardy,FWD,0.4848,0.4848,mid,-25,0.0,3.03,2.5452,3.03,0.0,86.0,0.0,2.0,0,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,treat_pack1,288,Diogo Jota,FWD,279,Firmino,FWD,0.6328,0.6328,mid,-30,0.0,3.03,2.3972,3.03,0.0,90.0,0.0,9.0,0,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,treat_pack1,318,Haaland,FWD,255,Vardy,FWD,1.0148,1.0148,large,-35,0.0,3.56,2.5452,3.56,68.0,86.0,17.0,2.0,1,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,treat_pack1,318,Haaland,FWD,279,Firmino,FWD,1.1628,1.1628,large,-40,0.0,3.56,2.3972,3.56,68.0,90.0,17.0,9.0,1,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,treat_pack1,235,Struijk,DEF,457,Cresswell,DEF,0.0284,0.0284,near,-3,0.0772,2.2872,2.2588,2.3644,90.0,71.0,4.0,2.0,1,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,treat_pack1,235,Struijk,DEF,285,Alexander-Arnold,DEF,-0.358,0.358,mid,25,0.0772,2.2872,2.6452,2.3644,90.0,70.0,4.0,2.0,1,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,treat_pack1,463,Coufal,DEF,457,Cresswell,DEF,-0.066,0.066,near,16,0.208,2.1928,2.2588,2.4008,90.0,71.0,2.0,2.0,1,0,1,0.784,0.79096,1
2022-23,FAIL,both,5,treat_pack1,463,Coufal,DEF,285,Alexander-Arnold,DEF,-0.4524,0.4524,mid,44,0.208,2.1928,2.6452,2.4008,90.0,70.0,2.0,2.0,1,0,1,0.784,0.79096,1
2022-23,FAIL,both,6,ctrl_treat,356,Wilson,FWD,288,Diogo Jota,FWD,-0.2308,0.2308,near,11,0.7308,2.5984,2.8292,3.3292,0.0,10.0,0.0,1.0,0,0,1,0.752,0.79096,1
2022-23,FAIL,both,6,ctrl_treat,356,Wilson,FWD,427,Kane,FWD,-0.642,0.642,mid,20,0.7308,2.5984,3.2404,3.3292,0.0,77.0,0.0,9.0,0,0,1,0.752,0.79096,1
2022-23,FAIL,both,6,ctrl_treat,356,Wilson,FWD,210,Mitrović,FWD,-0.0812,0.0812,near,9,0.7308,2.5984,2.6796,3.3292,0.0,90.0,0.0,5.0,0,0,1,0.752,0.79096,1
2022-23,FAIL,both,6,ctrl_treat,145,Havertz,FWD,288,Diogo Jota,FWD,-0.2044,0.2044,near,7,0.5964,2.6248,2.8292,3.2212,18.0,10.0,6.0,1.0,0,0,1,0.752,0.79096,1
2022-23,FAIL,both,6,ctrl_treat,145,Havertz,FWD,427,Kane,FWD,-0.6156,0.6156,mid,16,0.5964,2.6248,3.2404,3.2212,18.0,77.0,6.0,9.0,0,0,1,0.752,0.79096,1
2022-23,FAIL,both,6,ctrl_treat,145,Havertz,FWD,210,Mitrović,FWD,-0.0548,0.0548,near,5,0.5964,2.6248,2.6796,3.2212,18.0,90.0,6.0,5.0,0,0,1,0.752,0.79096,1
2022-23,FAIL,both,6,ctrl_treat,261,Maddison,MID,480,Neves,MID,-0.2588,0.2588,mid,20,1.0744,2.3492,2.608,3.4236,90.0,90.0,2.0,2.0,1,0,1,0.752,0.79096,1
2022-23,FAIL,both,6,ctrl_treat,261,Maddison,MID,104,Groß,MID,-0.5332,0.5332,mid,32,1.0744,2.3492,2.8824,3.4236,90.0,90.0,2.0,5.0,1,1,1,0.752,0.79096,1
2022-23,FAIL,both,6,ctrl_treat,303,Mahrez,MID,480,Neves,MID,-0.0412,0.0412,near,4,1.8184,2.5668,2.608,4.3852,17.0,90.0,1.0,2.0,0,0,1,0.752,0.79096,1
2022-23,FAIL,both,6,ctrl_treat,303,Mahrez,MID,104,Groß,MID,-0.3156,0.3156,mid,16,1.8184,2.5668,2.8824,4.3852,17.0,90.0,1.0,5.0,0,0,1,0.752,0.79096,1
2022-23,FAIL,both,6,ctrl_treat,446,Kulusevski,MID,480,Neves,MID,0.0188,0.0188,near,-3,1.292,2.6268,2.608,3.9188,12.0,90.0,1.0,2.0,0,0,1,0.752,0.79096,1
2022-23,FAIL,both,6,ctrl_treat,446,Kulusevski,MID,104,Groß,MID,-0.2556,0.2556,mid,9,1.292,2.6268,2.8824,3.9188,12.0,90.0,1.0,5.0,0,0,1,0.752,0.79096,1
2022-23,FAIL,both,6,ctrl_treat,357,Trippier,DEF,516,Collins,DEF,-0.2652,0.2652,mid,19,1.3584,2.3332,2.5984,3.6916,90.0,90.0,8.0,9.0,1,1,1,0.752,0.79096,1
2022-23,FAIL,both,6,ctrl_treat,357,Trippier,DEF,106,Dunk,DEF,-0.2988,0.2988,mid,26,1.3584,2.3332,2.632,3.6916,90.0,90.0,8.0,1.0,1,0,1,0.752,0.79096,1
2022-23,FAIL,both,6,ctrl_treat,477,Jonny,DEF,516,Collins,DEF,-0.4232,0.4232,mid,53,0.5964,2.1752,2.5984,2.7716,90.0,90.0,5.0,9.0,1,1,1,0.752,0.79096,1
2022-23,FAIL,both,6,ctrl_treat,477,Jonny,DEF,106,Dunk,DEF,-0.4568,0.4568,mid,60,0.5964,2.1752,2.632,2.7716,90.0,90.0,5.0,1.0,1,0,1,0.752,0.79096,1
2022-23,FAIL,both,6,ctrl_pack1,356,Wilson,FWD,288,Diogo Jota,FWD,-0.2308,0.2308,near,11,0.7308,2.5984,2.8292,3.3292,0.0,10.0,0.0,1.0,0,0,1,0.752,0.79096,1
2022-23,FAIL,both,6,ctrl_pack1,356,Wilson,FWD,210,Mitrović,FWD,-0.0812,0.0812,near,9,0.7308,2.5984,2.6796,3.3292,0.0,90.0,0.0,5.0,0,0,1,0.752,0.79096,1
2022-23,FAIL,both,6,ctrl_pack1,357,Trippier,DEF,516,Collins,DEF,-0.2652,0.2652,mid,19,1.3584,2.3332,2.5984,3.6916,90.0,90.0,8.0,9.0,1,1,1,0.752,0.79096,1
2022-23,FAIL,both,6,ctrl_pack1,357,Trippier,DEF,106,Dunk,DEF,-0.2988,0.2988,mid,26,1.3584,2.3332,2.632,3.6916,90.0,90.0,8.0,1.0,1,0,1,0.752,0.79096,1
2022-23,FAIL,both,6,ctrl_pack1,477,Jonny,DEF,516,Collins,DEF,-0.4232,0.4232,mid,53,0.5964,2.1752,2.5984,2.7716,90.0,90.0,5.0,9.0,1,1,1,0.752,0.79096,1
2022-23,FAIL,both,6,ctrl_pack1,477,Jonny,DEF,106,Dunk,DEF,-0.4568,0.4568,mid,60,0.5964,2.1752,2.632,2.7716,90.0,90.0,5.0,1.0,1,0,1,0.752,0.79096,1
2022-23,FAIL,both,6,ctrl_pack1,303,Mahrez,MID,480,Neves,MID,-0.0412,0.0412,near,4,1.8184,2.5668,2.608,4.3852,17.0,90.0,1.0,2.0,0,0,1,0.752,0.79096,1
2022-23,FAIL,both,6,ctrl_pack1,116,Mac Allister,MID,480,Neves,MID,-0.0836,0.0836,near,8,0.3784,2.5244,2.608,2.9028,90.0,90.0,14.0,2.0,1,0,1,0.752,0.79096,1
2022-23,FAIL,both,6,treat_pack1,104,Groß,MID,261,Maddison,MID,0.5332,0.5332,mid,-32,0.2288,2.8824,2.3492,3.1112,90.0,90.0,5.0,2.0,1,0,1,0.752,0.79096,1
2022-23,FAIL,both,6,treat_pack1,104,Groß,MID,446,Kulusevski,MID,0.2556,0.2556,mid,-9,0.2288,2.8824,2.6268,3.1112,90.0,12.0,5.0,1.0,0,0,1,0.752,0.79096,1
2022-23,FAIL,both,6,treat_pack1,116,Mac Allister,MID,261,Maddison,MID,0.1752,0.1752,near,-12,0.3784,2.5244,2.3492,2.9028,90.0,90.0,14.0,2.0,1,0,1,0.752,0.79096,1
2022-23,FAIL,both,6,treat_pack1,116,Mac Allister,MID,446,Kulusevski,MID,-0.1024,0.1024,near,11,0.3784,2.5244,2.6268,2.9028,90.0,12.0,14.0,1.0,0,0,1,0.752,0.79096,1
2022-23,FAIL,both,6,treat_pack1,427,Kane,FWD,145,Havertz,FWD,0.6156,0.6156,mid,-16,0.3352,3.2404,2.6248,3.5756,77.0,18.0,9.0,6.0,0,0,1,0.752,0.79096,1
2022-23,FAIL,both,8,ctrl_treat,477,Jonny,DEF,526,Mee,DEF,-0.2984,0.2984,mid,17,0.4104,2.1892,2.4876,2.5996,90.0,90.0,1.0,1.0,1,0,0,0.4795,0.79096,1
