season,e024_gate,gw,strategy,delta_u_pred,delta_xi_pts,delta_cap,delta_cap_bonus,delta_cap_oracle,squad_changed,xi_changed,captain_changed,captain_only_changed,sign_u,sign_xi,sign_cap,sign_bonus,u_pos_cap_neg,u_pos_xi_neg,u_pos_xi_pos_cap_neg,u_pos_xi_neg_cap_neg
2022-23,FAIL,16,balanced,3.5728,-2.0,-5.0,-3.0,-2.0,1,1,1,0,1,-1,-1,-1,1,1,0,1
2022-23,FAIL,16,safe,1.8467,-15.0,-15.0,0.0,-19.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2022-23,FAIL,17,balanced,2.584,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0
2022-23,FAIL,17,safe,1.0178,-1.0,-1.0,0.0,-1.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2022-23,FAIL,18,balanced,2.4592,4.0,4.0,0.0,4.0,1,1,0,0,1,1,1,0,0,0,0,0
2022-23,FAIL,18,safe,1.0576,17.0,17.0,0.0,17.0,1,1,0,0,1,1,1,0,0,0,0,0
2022-23,FAIL,19,balanced,1.4332,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0
2022-23,FAIL,19,safe,0.7188,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0
2022-23,FAIL,20,balanced,3.4716,0.0,-3.0,-3.0,0.0,1,1,1,0,1,0,-1,-1,1,0,0,0
2022-23,FAIL,20,safe,1.8487,-3.0,-3.0,0.0,-3.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2022-23,FAIL,21,balanced,4.1752,-1.0,3.0,4.0,-1.0,1,1,1,0,1,-1,1,1,0,1,0,0
2022-23,FAIL,21,safe,2.2173,-2.0,2.0,4.0,-2.0,1,1,1,0,1,-1,1,1,0,1,0,0
2022-23,FAIL,22,balanced,2.6688,-1.0,-1.0,0.0,-1.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2022-23,FAIL,22,safe,1.6059,13.0,13.0,0.0,13.0,1,1,0,0,1,1,1,0,0,0,0,0
2022-23,FAIL,23,balanced,7.406,-11.0,-11.0,0.0,-11.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2022-23,FAIL,23,safe,4.9662,-11.0,0.0,11.0,-11.0,1,1,1,0,1,-1,0,1,0,1,0,0
2022-23,FAIL,24,balanced,1.9092,-17.0,-20.0,-3.0,-17.0,1,1,1,0,1,-1,-1,-1,1,1,0,1
2022-23,FAIL,24,safe,1.0273,-7.0,-8.0,-1.0,-7.0,1,1,1,0,1,-1,-1,-1,1,1,0,1
2022-23,FAIL,25,balanced,2.5148,-6.0,-12.0,-6.0,-6.0,1,1,1,0,1,-1,-1,-1,1,1,0,1
2022-23,FAIL,25,safe,1.4052,-6.0,-3.0,3.0,-6.0,1,1,1,0,1,-1,-1,1,1,1,0,1
2022-23,FAIL,26,balanced,1.4312,-15.0,-15.0,0.0,-15.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2022-23,FAIL,26,safe,0.9153,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0
2022-23,FAIL,27,balanced,0.774,2.0,2.0,0.0,2.0,1,1,0,0,1,1,1,0,0,0,0,0
2022-23,FAIL,27,safe,0.3488,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0
2022-23,FAIL,28,balanced,0.5452,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0
2022-23,FAIL,28,safe,0.3675,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0
2022-23,FAIL,29,balanced,0.7024,-4.0,-4.0,0.0,-7.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2022-23,FAIL,29,safe,0.1685,1.0,1.0,0.0,1.0,1,1,0,0,1,1,1,0,0,0,0,0
2022-23,FAIL,30,balanced,0.1936,1.0,1.0,0.0,1.0,1,1,0,0,1,1,1,0,0,0,0,0
2022-23,FAIL,30,safe,0.0772,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0
2022-23,FAIL,31,balanced,0.4576,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
2022-23,FAIL,31,safe,0.2793,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
2022-23,FAIL,32,balanced,0.3152,11.0,11.0,0.0,11.0,1,1,0,0,1,1,1,0,0,0,0,0
2022-23,FAIL,32,safe,0.0834,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0
2022-23,FAIL,33,balanced,0.3364,-20.0,-20.0,0.0,-20.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2022-23,FAIL,33,safe,0.0658,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
2022-23,FAIL,34,balanced,1.4176,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
2022-23,FAIL,34,safe,1.0715,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
2022-23,FAIL,35,balanced,0.3864,4.0,4.0,0.0,4.0,1,1,0,0,1,1,1,0,0,0,0,0
2022-23,FAIL,35,safe,0.3796,5.0,5.0,0.0,5.0,1,1,0,0,1,1,1,0,0,0,0,0
2022-23,FAIL,36,balanced,0.0496,18.0,18.0,0.0,25.0,1,1,0,0,1,1,1,0,0,0,0,0
2022-23,FAIL,36,safe,0.046,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
2022-23,FAIL,37,balanced,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2022-23,FAIL,37,safe,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2022-23,FAIL,38,balanced,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2022-23,FAIL,38,safe,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,PASS,1,balanced,5.6388,-3.0,-3.0,0.0,-3.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2023-24,PASS,1,safe,3.2141,-2.0,-2.0,0.0,-2.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2023-24,PASS,2,balanced,2.6208,6.0,9.0,3.0,9.0,1,1,1,0,1,1,1,1,0,0,0,0
2023-24,PASS,2,safe,1.28,6.0,11.0,5.0,9.0,1,1,1,0,1,1,1,1,0,0,0,0
2023-24,PASS,3,balanced,3.5048,11.0,14.0,3.0,11.0,1,1,1,0,1,1,1,1,0,0,0,0
2023-24,PASS,3,safe,1.3508,5.0,5.0,0.0,5.0,1,1,0,0,1,1,1,0,0,0,0,0
2023-24,PASS,4,balanced,3.752,7.0,8.0,1.0,9.0,1,1,1,0,1,1,1,1,0,0,0,0
2023-24,PASS,4,safe,1.8057,2.0,2.0,0.0,4.0,1,1,0,0,1,1,1,0,0,0,0,0
2023-24,PASS,5,balanced,4.314,11.0,7.0,-4.0,15.0,1,1,1,0,1,1,1,-1,0,0,0,0
2023-24,PASS,5,safe,2.1414,1.0,-3.0,-4.0,1.0,1,1,1,0,1,1,-1,-1,1,0,1,0
2023-24,PASS,6,balanced,1.5756,8.0,12.0,4.0,8.0,1,1,1,0,1,1,1,1,0,0,0,0
2023-24,PASS,6,safe,0.834,8.0,2.0,-6.0,8.0,1,1,1,0,1,1,1,-1,0,0,0,0
2023-24,PASS,7,balanced,1.9284,-5.0,-5.0,0.0,-8.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2023-24,PASS,7,safe,0.9393,-1.0,-1.0,0.0,-4.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2023-24,PASS,8,balanced,2.4108,8.0,8.0,0.0,8.0,1,1,0,0,1,1,1,0,0,0,0,0
2023-24,PASS,8,safe,0.8205,-1.0,-1.0,0.0,-1.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2023-24,PASS,9,balanced,2.9248,6.0,6.0,0.0,6.0,1,1,0,0,1,1,1,0,0,0,0,0
2023-24,PASS,9,safe,1.6914,15.0,15.0,0.0,15.0,1,1,0,0,1,1,1,0,0,0,0,0
2023-24,PASS,10,balanced,1.1884,-11.0,-11.0,0.0,-14.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2023-24,PASS,10,safe,0.9054,1.0,1.0,0.0,1.0,1,1,0,0,1,1,1,0,0,0,0,0
2023-24,PASS,11,balanced,1.8944,13.0,14.0,1.0,16.0,1,1,1,0,1,1,1,1,0,0,0,0
2023-24,PASS,11,safe,1.0492,13.0,14.0,1.0,16.0,1,1,1,0,1,1,1,1,0,0,0,0
2023-24,PASS,12,balanced,1.3912,-13.0,-13.0,0.0,-13.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2023-24,PASS,12,safe,1.1451,1.0,1.0,0.0,1.0,1,1,0,0,1,1,1,0,0,0,0,0
2023-24,PASS,13,balanced,1.1264,2.0,2.0,0.0,2.0,1,1,0,0,1,1,1,0,0,0,0,0
2023-24,PASS,13,safe,0.7141,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0
2023-24,PASS,14,balanced,0.726,-3.0,-3.0,0.0,-3.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2023-24,PASS,14,safe,0.2094,-7.0,-9.0,-2.0,-7.0,1,1,1,0,1,-1,-1,-1,1,1,0,1
2023-24,PASS,15,balanced,1.4436,6.0,6.0,0.0,6.0,1,1,0,0,1,1,1,0,0,0,0,0
2023-24,PASS,15,safe,0.8345,5.0,5.0,0.0,5.0,1,1,0,0,1,1,1,0,0,0,0,0
2023-24,PASS,16,balanced,1.2736,4.0,4.0,0.0,4.0,1,1,0,0,1,1,1,0,0,0,0,0
2023-24,PASS,16,safe,0.6572,-6.0,-6.0,0.0,-6.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2023-24,PASS,17,balanced,1.06,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0
2023-24,PASS,17,safe,0.8335,5.0,5.0,0.0,5.0,1,1,0,0,1,1,1,0,0,0,0,0
2023-24,PASS,18,balanced,1.2612,1.0,1.0,0.0,1.0,1,1,0,0,1,1,1,0,0,0,0,0
2023-24,PASS,18,safe,0.9323,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
2023-24,PASS,19,balanced,0.5448,7.0,7.0,0.0,9.0,1,1,0,0,1,1,1,0,0,0,0,0
2023-24,PASS,19,safe,0.3911,6.0,7.0,1.0,8.0,1,1,1,0,1,1,1,1,0,0,0,0
2023-24,PASS,20,balanced,0.4996,5.0,5.0,0.0,5.0,1,1,0,0,1,1,1,0,0,0,0,0
2023-24,PASS,20,safe,0.1974,5.0,5.0,0.0,5.0,1,1,0,0,1,1,1,0,0,0,0,0
2023-24,PASS,21,balanced,0.3036,-3.0,-3.0,0.0,-3.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2023-24,PASS,21,safe,0.2462,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0
2023-24,PASS,22,balanced,0.69,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
2023-24,PASS,22,safe,0.4024,-1.0,-1.0,0.0,-1.0,0,1,0,0,1,-1,-1,0,1,1,0,1
2023-24,PASS,23,balanced,0.2928,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0
2023-24,PASS,23,safe,0.2705,-2.0,-3.0,-1.0,-2.0,1,1,1,0,1,-1,-1,-1,1,1,0,1
2023-24,PASS,24,balanced,0.4452,7.0,7.0,0.0,7.0,1,1,0,0,1,1,1,0,0,0,0,0
2023-24,PASS,24,safe,0.0337,-1.0,-1.0,0.0,-4.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2023-24,PASS,25,balanced,1.0432,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
2023-24,PASS,25,safe,0.8141,4.0,4.0,0.0,4.0,1,1,0,0,1,1,1,0,0,0,0,0
2023-24,PASS,26,balanced,0.0872,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
2023-24,PASS,26,safe,0.0683,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
2023-24,PASS,27,balanced,0.2712,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
2023-24,PASS,27,safe,0.2383,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
2023-24,PASS,28,balanced,0.0143,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
2023-24,PASS,28,safe,-0.0431,0.0,0.0,0.0,0.0,0,0,0,0,-1,0,0,0,0,0,0,0
2023-24,PASS,29,balanced,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
2023-24,PASS,29,safe,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,PASS,30,balanced,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,PASS,30,safe,0.0005,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
2023-24,PASS,31,balanced,0.1048,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0
2023-24,PASS,31,safe,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,PASS,32,balanced,0.0196,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
2023-24,PASS,32,safe,-0.033,0.0,0.0,0.0,0.0,1,1,0,0,-1,0,0,0,0,0,0,0
2023-24,PASS,33,balanced,0.0736,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
2023-24,PASS,33,safe,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,PASS,34,balanced,0.1656,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
2023-24,PASS,34,safe,0.0097,12.0,12.0,0.0,12.0,0,1,0,0,1,1,1,0,0,0,0,0
2023-24,PASS,35,balanced,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,PASS,35,safe,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,PASS,36,balanced,0.0488,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
2023-24,PASS,36,safe,-0.0468,-1.0,-1.0,0.0,-1.0,1,1,0,0,-1,-1,-1,0,0,0,0,0
2023-24,PASS,37,balanced,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,PASS,37,safe,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,PASS,38,balanced,0.0748,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
2023-24,PASS,38,safe,0.091,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0
2024-25,PASS,1,balanced,7.8932,8.0,8.0,0.0,8.0,1,1,0,0,1,1,1,0,0,0,0,0
2024-25,PASS,1,safe,4.8596,8.0,8.0,0.0,8.0,1,1,0,0,1,1,1,0,0,0,0,0
2024-25,PASS,2,balanced,3.0328,8.0,8.0,0.0,8.0,1,1,0,0,1,1,1,0,0,0,0,0
2024-25,PASS,2,safe,1.331,6.0,6.0,0.0,6.0,1,1,0,0,1,1,1,0,0,0,0,0
2024-25,PASS,3,balanced,3.6832,-10.0,-10.0,0.0,-18.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2024-25,PASS,3,safe,2.2501,11.0,14.0,3.0,11.0,1,1,1,0,1,1,1,1,0,0,0,0
2024-25,PASS,4,balanced,2.2748,-3.0,-8.0,-5.0,-7.0,1,1,1,0,1,-1,-1,-1,1,1,0,1
2024-25,PASS,4,safe,1.2193,-5.0,-10.0,-5.0,-9.0,1,1,1,0,1,-1,-1,-1,1,1,0,1
2024-25,PASS,5,balanced,5.8512,11.0,11.0,0.0,11.0,1,1,0,0,1,1,1,0,0,0,0,0
2024-25,PASS,5,safe,3.4256,11.0,11.0,0.0,11.0,1,1,0,0,1,1,1,0,0,0,0,0
2024-25,PASS,6,balanced,4.0704,-3.0,20.0,23.0,-3.0,1,1,1,0,1,-1,1,1,0,1,0,0
2024-25,PASS,6,safe,1.8821,-1.0,-1.0,0.0,-1.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2024-25,PASS,7,balanced,3.2832,-5.0,-1.0,4.0,-5.0,1,1,1,0,1,-1,-1,1,1,1,0,1
2024-25,PASS,7,safe,1.7486,-15.0,-11.0,4.0,-23.0,1,1,1,0,1,-1,-1,1,1,1,0,1
2024-25,PASS,8,balanced,4.1444,2.0,2.0,0.0,2.0,1,1,0,0,1,1,1,0,0,0,0,0
2024-25,PASS,8,safe,2.0202,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0
2024-25,PASS,9,balanced,3.2464,6.0,10.0,4.0,6.0,1,1,1,0,1,1,1,1,0,0,0,0
2024-25,PASS,9,safe,2.0498,0.0,4.0,4.0,0.0,1,0,1,0,1,0,1,1,0,0,0,0
2024-25,PASS,10,balanced,4.4248,0.0,0.0,0.0,-1.0,1,1,0,0,1,0,0,0,0,0,0,0
2024-25,PASS,10,safe,2.5249,-5.0,-5.0,0.0,-11.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2024-25,PASS,11,balanced,3.3724,-15.0,-15.0,0.0,-18.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2024-25,PASS,11,safe,1.9856,1.0,1.0,0.0,1.0,1,1,0,0,1,1,1,0,0,0,0,0
2024-25,PASS,12,balanced,2.5148,6.0,6.0,0.0,6.0,1,1,0,0,1,1,1,0,0,0,0,0
2024-25,PASS,12,safe,1.4986,1.0,1.0,0.0,1.0,1,1,0,0,1,1,1,0,0,0,0,0
2024-25,PASS,13,balanced,2.388,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0
2024-25,PASS,13,safe,1.1305,24.0,24.0,0.0,28.0,1,1,0,0,1,1,1,0,0,0,0,0
2024-25,PASS,14,balanced,2.4768,2.0,15.0,13.0,2.0,1,1,1,0,1,1,1,1,0,0,0,0
2024-25,PASS,14,safe,1.5349,14.0,27.0,13.0,14.0,1,1,1,0,1,1,1,1,0,0,0,0
2024-25,PASS,15,balanced,2.0384,9.0,20.0,11.0,9.0,1,1,1,0,1,1,1,1,0,0,0,0
2024-25,PASS,15,safe,0.9411,3.0,14.0,11.0,3.0,1,1,1,0,1,1,1,1,0,0,0,0
2024-25,PASS,16,balanced,2.6804,-11.0,-11.0,0.0,-11.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2024-25,PASS,16,safe,1.496,-11.0,-11.0,0.0,-11.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2024-25,PASS,17,balanced,1.9302,-1.0,-1.0,0.0,-1.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2024-25,PASS,17,safe,0.9437,-1.0,0.0,1.0,-1.0,1,1,1,0,1,-1,0,1,0,1,0,0
2024-25,PASS,18,balanced,2.2172,1.0,1.0,0.0,1.0,1,1,0,0,1,1,1,0,0,0,0,0
2024-25,PASS,18,safe,1.3186,-10.0,-10.0,0.0,-12.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2024-25,PASS,19,balanced,0.8076,9.0,9.0,0.0,9.0,1,1,0,0,1,1,1,0,0,0,0,0
2024-25,PASS,19,safe,0.5585,9.0,9.0,0.0,9.0,1,1,0,0,1,1,1,0,0,0,0,0
2024-25,PASS,20,balanced,1.1684,-2.0,-2.0,0.0,-2.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2024-25,PASS,20,safe,0.8246,16.0,16.0,0.0,18.0,1,1,0,0,1,1,1,0,0,0,0,0
2024-25,PASS,21,balanced,0.6796,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0
2024-25,PASS,21,safe,0.4895,-8.0,-8.0,0.0,-8.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2024-25,PASS,22,balanced,-0.1592,-13.0,-13.0,0.0,-17.0,1,1,0,0,-1,-1,-1,0,0,0,0,0
2024-25,PASS,22,safe,-0.1164,-12.0,-12.0,0.0,-15.0,1,1,0,0,-1,-1,-1,0,0,0,0,0
2024-25,PASS,23,balanced,0.5236,-1.0,-1.0,0.0,-1.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2024-25,PASS,23,safe,0.2807,-7.0,-7.0,0.0,-7.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2024-25,PASS,24,balanced,0.5136,-3.0,-3.0,0.0,-3.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2024-25,PASS,24,safe,0.6452,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
2024-25,PASS,25,balanced,0.4268,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0
2024-25,PASS,25,safe,0.2988,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
2024-25,PASS,26,balanced,0.5348,17.0,17.0,0.0,17.0,1,1,0,0,1,1,1,0,0,0,0,0
2024-25,PASS,26,safe,0.3801,5.0,5.0,0.0,5.0,1,1,0,0,1,1,1,0,0,0,0,0
2024-25,PASS,27,balanced,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2024-25,PASS,27,safe,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2024-25,PASS,28,balanced,-0.01,-6.0,-6.0,0.0,-6.0,1,1,0,0,-1,-1,-1,0,0,0,0,0
2024-25,PASS,28,safe,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2024-25,PASS,29,balanced,0.3192,2.0,2.0,0.0,2.0,1,1,0,0,1,1,1,0,0,0,0,0
2024-25,PASS,29,safe,0.0015,2.0,2.0,0.0,2.0,1,1,0,0,1,1,1,0,0,0,0,0
2024-25,PASS,30,balanced,-0.1172,1.0,1.0,0.0,1.0,1,1,0,0,-1,1,1,0,0,0,0,0
2024-25,PASS,30,safe,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2024-25,PASS,31,balanced,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2024-25,PASS,31,safe,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2024-25,PASS,32,balanced,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2024-25,PASS,32,safe,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2024-25,PASS,33,balanced,0.0692,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
2024-25,PASS,33,safe,-0.0063,0.0,0.0,0.0,0.0,0,0,0,0,-1,0,0,0,0,0,0,0
2024-25,PASS,34,balanced,0.0228,2.0,2.0,0.0,2.0,1,1,0,0,1,1,1,0,0,0,0,0
2024-25,PASS,34,safe,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2024-25,PASS,35,balanced,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2024-25,PASS,35,safe,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2024-25,PASS,36,balanced,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2024-25,PASS,36,safe,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2024-25,PASS,37,balanced,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
