season,e024_gate,candidate,gw,n_enter,n_pos_touched,flex_flag,eligible,xi0_worse_gw,rule_choice,wire_ok,pair_feasible,score_rule,xi0_rule,xi0_cand,xi0_ctrl,cap_rule,cap_cand,cap_ctrl
2024-25,PASS,v1_adxg,28,3,3,1,1,0,hold,1,1,58.592,0,0,0,69.0,69.0,60.0
2024-25,PASS,v1_adxg,29,3,3,1,1,0,hold,1,1,49.8944,1,1,2,56.0,56.0,56.0
2024-25,PASS,v1_adxg,30,4,3,1,1,0,hold,1,1,57.3712,1,1,1,58.0,58.0,48.0
2024-25,PASS,v1_adxg,31,2,3,1,1,0,pair,1,1,53.7076,0,0,0,45.0,50.0,41.0
2024-25,PASS,v1_adxg,32,2,1,1,1,0,hold,1,1,81.5652,0,0,0,82.0,82.0,98.0
2024-25,PASS,v1_adxg,33,4,4,1,1,0,pair,1,1,87.4812,0,0,0,87.0,93.0,94.0
2024-25,PASS,v1_adxg,34,4,4,1,1,0,hold,1,1,58.2656,0,0,0,63.0,63.0,58.0
2024-25,PASS,v1_adxg,36,5,4,1,1,0,hold,1,1,56.8608,0,0,1,45.0,45.0,33.0
2024-25,PASS,v1_adxg,37,2,2,1,1,0,pair,1,1,56.688,2,1,1,34.0,35.0,49.0
2024-25,PASS,v1_adxg,38,2,2,1,1,0,hold,1,1,57.9644,0,0,0,49.0,49.0,45.0
2025-26,FAIL,v1_adxg,1,4,4,1,1,0,pair,1,1,39.2948,1,0,1,53.0,70.0,53.0
2025-26,FAIL,v1_adxg,2,6,3,1,1,1,hold,1,1,44.8268,1,3,1,45.0,19.0,59.0
2025-26,FAIL,v1_adxg,3,2,2,1,1,0,hold,1,1,43.0056,3,3,4,37.0,37.0,28.0
2025-26,FAIL,v1_adxg,5,4,3,1,1,0,hold,1,1,46.678,1,1,1,54.0,54.0,56.0
2025-26,FAIL,v1_adxg,6,1,2,1,1,0,hold,1,0,49.5576,1,1,1,55.0,55.0,50.0
2025-26,FAIL,v1_adxg,7,4,3,1,1,0,pair,1,1,47.6844,1,0,1,62.0,80.0,62.0
2025-26,FAIL,v1_adxg,8,3,2,1,1,0,hold,1,1,49.5572,0,0,1,77.0,77.0,72.0
2025-26,FAIL,v1_adxg,9,2,2,1,1,0,hold,1,1,48.9528,1,1,1,41.0,41.0,51.0
2025-26,FAIL,v1_adxg,11,2,2,1,1,0,hold,1,1,47.9156,0,0,0,40.0,40.0,38.0
2025-26,FAIL,v1_adxg,13,3,3,1,1,0,hold,1,1,48.062,0,0,1,49.0,49.0,47.0
2025-26,FAIL,v1_adxg,14,3,3,1,1,0,hold,1,1,47.3908,0,0,0,52.0,52.0,51.0
2025-26,FAIL,v1_adxg,15,4,4,1,1,0,hold,1,1,48.3072,1,1,1,56.0,56.0,57.0
2025-26,FAIL,v1_adxg,16,2,2,1,1,0,hold,1,1,48.4328,0,0,0,75.0,75.0,81.0
2025-26,FAIL,v1_adxg,17,5,4,1,1,0,hold,1,1,49.1064,0,0,0,79.0,79.0,78.0
2025-26,FAIL,v1_adxg,18,2,3,1,1,0,hold,1,1,48.3676,3,3,3,33.0,33.0,29.0
2025-26,FAIL,v1_adxg,19,2,2,1,1,0,hold,1,1,47.2356,1,1,1,48.0,48.0,59.0
2025-26,FAIL,v1_adxg,20,5,4,1,1,0,hold,1,1,46.9484,0,0,0,43.0,43.0,35.0
2025-26,FAIL,v1_adxg,22,4,2,1,1,0,hold,1,1,47.3204,0,0,0,46.0,46.0,47.0
2025-26,FAIL,v1_adxg,23,2,2,1,1,0,hold,1,1,50.9008,0,0,0,33.0,33.0,23.0
2025-26,FAIL,v1_adxg,24,3,3,1,1,0,hold,1,1,48.6176,0,0,0,80.0,80.0,78.0
2025-26,FAIL,v1_adxg,25,2,2,1,1,0,hold,1,1,50.0984,0,0,0,64.0,64.0,59.0
2025-26,FAIL,v1_adxg,26,4,3,1,1,0,pair,1,1,72.1008,0,0,0,82.0,94.0,81.0
2025-26,FAIL,v1_adxg,27,3,3,1,1,0,hold,1,1,53.3528,0,0,1,39.0,39.0,34.0
2025-26,FAIL,v1_adxg,28,2,2,1,1,0,hold,1,1,52.842,1,1,1,65.0,65.0,56.0
2025-26,FAIL,v1_adxg,29,2,3,1,1,0,hold,1,0,50.9224,0,0,0,78.0,78.0,89.0
2025-26,FAIL,v1_adxg,30,4,3,1,1,1,cand,1,1,54.7396,1,1,0,65.0,65.0,68.0
2025-26,FAIL,v1_adxg,32,4,3,1,1,0,hold,1,1,53.3924,0,0,0,69.0,69.0,55.0
2025-26,FAIL,v1_adxg,35,2,2,1,1,0,hold,1,1,54.6484,0,0,0,61.0,61.0,64.0
2025-26,FAIL,v1_adxg,36,3,3,1,1,0,pair,1,1,90.438,2,2,2,63.0,54.0,66.0
2025-26,FAIL,v1_adxg,37,3,3,1,1,1,hold,1,1,58.042,0,1,0,68.0,59.0,71.0
2025-26,FAIL,v1_adxg,38,3,3,1,1,1,cand,1,1,54.0388,5,5,3,25.0,25.0,28.0
