season,e024_gate,gw,strategy,squad_overlap,n_entered,n_left,mean_mu_lift_ent,mean_u_lift_ent,mean_v2b_lift_ent,mean_actual_ent,mean_mu_err_ent,mean_actual_lev,delta_xi_picked,delta_xi_cf_ctrl_pool,delta_xi_cf_treat_pool,xi_changed
2022-23,FAIL,10,balanced,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2022-23,FAIL,10,safe,14,1,1,0.3148,0.1264,0.3148,2.0,-0.5732,2.0,2.0,0.0,0.0,1
2022-23,FAIL,11,balanced,13,2,2,0.2004,0.2004,0.2004,1.5,-1.0334,0.5,1.0,0.0,1.0,1
2022-23,FAIL,11,safe,14,1,1,0.1656,0.1481,0.1656,1.0,-1.4516,0.0,0.0,0.0,0.0,0
2022-23,FAIL,12,balanced,10,5,5,0.565,0.565,0.565,2.6,-0.3555,5.2,-13.0,-12.0,-13.0,1
2022-23,FAIL,12,safe,11,4,4,0.58,0.3291,0.58,4.75,1.5248,5.0,1.0,-3.0,8.0,1
2022-23,FAIL,13,balanced,7,8,8,0.6018,0.6018,0.6018,1.875,-1.098,4.0,-35.0,0.0,-14.0,1
2022-23,FAIL,13,safe,9,6,6,0.5973,0.3032,0.5973,1.5,-1.5233,5.1667,-35.0,-5.0,-13.0,1
2022-23,FAIL,14,balanced,7,8,8,0.5305,0.5305,0.5305,1.875,-1.0659,4.75,1.0,-1.0,0.0,1
2022-23,FAIL,14,safe,8,7,7,0.5577,0.3198,0.5577,4.4286,1.4594,4.7143,-16.0,0.0,1.0,1
2022-23,FAIL,15,balanced,8,7,7,0.4477,0.4477,0.4477,1.2857,-1.4247,3.0,-6.0,0.0,-7.0,1
2022-23,FAIL,15,safe,9,6,6,0.4603,0.2567,0.4603,2.6667,-0.3563,3.6667,-4.0,-1.0,1.0,1
2022-23,FAIL,16,balanced,11,4,4,0.4759,0.4759,0.4759,1.75,-0.8809,0.5,-2.0,0.0,5.0,1
2022-23,FAIL,16,safe,11,4,4,0.4335,0.2468,0.4335,1.25,-1.506,5.0,-15.0,0.0,-10.0,1
2022-23,FAIL,17,balanced,11,4,4,0.4942,0.4942,0.4942,1.75,-1.0925,3.0,0.0,0.0,-1.0,1
2022-23,FAIL,17,safe,11,4,4,0.4284,0.2081,0.4284,4.25,1.4185,4.5,-1.0,0.0,-1.0,1
2022-23,FAIL,18,balanced,11,4,4,0.7102,0.4529,0.7102,2.75,-0.4856,2.75,4.0,3.0,4.0,1
2022-23,FAIL,18,safe,11,4,4,0.4548,0.258,0.4548,6.0,3.3035,1.5,17.0,0.0,11.0,1
2022-23,FAIL,19,balanced,12,3,3,0.2485,0.2485,0.2485,1.3333,-1.6468,2.3333,0.0,-1.0,0.0,1
2022-23,FAIL,19,safe,13,2,2,0.3728,0.2118,0.3728,2.0,-0.8452,1.0,0.0,0.0,0.0,1
2022-23,FAIL,20,balanced,9,6,6,0.2321,0.2321,0.2321,2.0,-1.8602,3.1667,0.0,0.0,0.0,1
2022-23,FAIL,20,safe,12,3,3,0.6453,0.3604,0.6453,2.3333,-1.5452,7.3333,-3.0,0.0,-3.0,1
2022-23,FAIL,21,balanced,7,8,8,0.2545,0.2545,0.2545,4.25,1.3358,3.375,-1.0,0.0,-4.0,1
2022-23,FAIL,21,safe,9,6,6,0.3482,0.1804,0.3482,4.0,1.1261,3.1667,-2.0,0.0,0.0,1
2022-23,FAIL,22,balanced,12,3,3,0.3597,0.3597,0.3597,2.6667,-0.3033,2.6667,-1.0,0.0,-1.0,1
2022-23,FAIL,22,safe,13,2,2,0.224,0.1464,0.224,8.5,4.4354,0.5,13.0,0.0,13.0,1
2022-23,FAIL,23,balanced,9,6,6,0.2312,0.2312,0.2312,1.5,-1.7961,3.5,-11.0,0.0,-11.0,1
2022-23,FAIL,23,safe,10,5,5,0.2774,0.154,0.2774,1.2,-1.509,4.2,-11.0,0.0,-11.0,1
2022-23,FAIL,24,balanced,10,5,5,0.3074,0.3074,0.3074,1.6,-1.3626,6.0,-17.0,0.0,-17.0,1
2022-23,FAIL,24,safe,11,4,4,0.2058,0.1224,0.2058,1.75,-1.0718,2.5,-7.0,-1.0,-6.0,1
2022-23,FAIL,25,balanced,13,2,2,1.0434,0.6372,1.0434,6.5,1.6088,6.5,-6.0,0.0,-6.0,1
2022-23,FAIL,25,safe,13,2,2,1.0434,0.355,1.0434,6.5,1.6088,7.5,-6.0,0.0,-6.0,1
2022-23,FAIL,26,balanced,9,6,6,0.2917,0.2887,0.2917,4.0,0.8957,3.5,-15.0,0.0,-8.0,1
2022-23,FAIL,26,safe,14,1,1,0.1416,0.1112,0.1416,0.0,-2.6272,7.0,0.0,0.0,0.0,0
2022-23,FAIL,27,balanced,11,4,4,0.3345,0.3345,0.3345,3.25,-1.2605,7.25,2.0,0.0,6.0,1
2022-23,FAIL,27,safe,14,1,1,0.8588,0.5761,0.8588,2.0,-1.9,13.0,0.0,0.0,0.0,0
2022-23,FAIL,28,balanced,14,1,1,0.1916,0.1916,0.1916,6.0,3.4584,9.0,0.0,0.0,0.0,0
2022-23,FAIL,28,safe,12,3,3,0.0257,0.0216,0.0257,1.6667,-1.2764,1.3333,0.0,0.0,0.0,0
2022-23,FAIL,29,balanced,13,2,2,0.9754,0.9754,0.9754,6.5,0.8348,8.5,-4.0,2.0,0.0,1
2022-23,FAIL,29,safe,14,1,1,1.4336,1.0334,1.4336,8.0,2.3928,3.0,1.0,0.0,0.0,1
2022-23,FAIL,30,balanced,10,5,5,0.2249,0.2249,0.2249,1.8,-1.3817,1.8,1.0,0.0,5.0,1
2022-23,FAIL,30,safe,13,2,2,0.4128,0.2529,0.4128,0.5,-3.0146,1.5,0.0,0.0,0.0,0
2022-23,FAIL,31,balanced,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-23,FAIL,31,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-23,FAIL,32,balanced,13,2,2,0.3412,0.3412,0.3412,7.5,4.4102,2.0,11.0,0.0,1.0,1
2022-23,FAIL,32,safe,12,3,3,0.332,0.2066,0.332,9.3333,6.0709,5.6667,0.0,0.0,-9.0,1
2022-23,FAIL,33,balanced,12,3,3,0.1967,0.1967,0.1967,2.0,-1.0489,4.3333,-20.0,0.0,-5.0,1
2022-23,FAIL,33,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-23,FAIL,34,balanced,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-23,FAIL,34,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-23,FAIL,35,balanced,10,5,5,0.1262,0.1262,0.1262,5.4,1.9753,2.6,4.0,0.0,4.0,1
2022-23,FAIL,35,safe,12,3,3,0.2841,0.1841,0.2841,3.6667,0.4731,1.6667,5.0,0.0,5.0,1
2022-23,FAIL,36,balanced,12,3,3,0.0472,0.0472,0.0472,9.0,4.8981,1.0,18.0,0.0,18.0,1
2022-23,FAIL,36,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-23,FAIL,37,balanced,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-23,FAIL,37,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-23,FAIL,38,balanced,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-23,FAIL,38,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-24,PASS,1,balanced,10,5,5,0.7414,0.7414,0.7414,1.4,-1.1118,1.0,-3.0,0.0,-3.0,1
2023-24,PASS,1,safe,11,4,4,0.8665,0.4679,0.8665,1.75,-1.1971,1.0,-2.0,0.0,-2.0,1
2023-24,PASS,2,balanced,8,7,7,0.5141,0.5141,0.5141,2.4286,-0.4299,1.5714,6.0,0.0,6.0,1
2023-24,PASS,2,safe,11,4,4,0.7125,0.4333,0.7125,4.25,1.2585,2.75,6.0,0.0,6.0,1
2023-24,PASS,3,balanced,9,6,6,0.5163,0.5163,0.5163,2.8333,0.2328,0.8333,11.0,0.0,11.0,1
2023-24,PASS,3,safe,10,5,5,0.6322,0.3477,0.6322,3.0,0.1057,1.0,5.0,0.0,5.0,1
2023-24,PASS,4,balanced,11,4,4,0.2834,0.2834,0.2834,3.75,1.3829,4.5,7.0,0.0,0.0,1
2023-24,PASS,4,safe,13,2,2,0.4934,0.2439,0.4934,7.0,4.7176,9.0,2.0,0.0,2.0,1
2023-24,PASS,5,balanced,6,9,9,0.5712,0.5712,0.5712,3.5556,0.2844,1.8889,11.0,2.0,11.0,1
2023-24,PASS,5,safe,10,5,5,0.6075,0.3366,0.6075,1.2,-1.7878,1.6,1.0,3.0,3.0,1
2023-24,PASS,6,balanced,11,4,4,0.2883,0.2883,0.2883,4.0,1.0824,1.0,8.0,0.0,7.0,1
2023-24,PASS,6,safe,9,6,6,0.3081,0.1649,0.3081,4.5,1.4491,0.8333,8.0,0.0,8.0,1
2023-24,PASS,7,balanced,9,6,6,0.4584,0.4584,0.4584,3.1667,-0.2755,5.6667,-5.0,0.0,-19.0,1
2023-24,PASS,7,safe,11,4,4,0.5894,0.3254,0.5894,4.75,1.347,3.5,-1.0,0.0,7.0,1
2023-24,PASS,8,balanced,11,4,4,0.5434,0.5485,0.5434,2.75,-0.6081,1.5,8.0,7.0,8.0,1
2023-24,PASS,8,safe,10,5,5,0.2418,0.1466,0.2418,4.2,1.0674,2.2,-1.0,0.0,7.0,1
2023-24,PASS,9,balanced,8,7,7,0.4583,0.4419,0.4583,3.5714,0.3439,1.8571,6.0,0.0,12.0,1
2023-24,PASS,9,safe,8,7,7,0.2987,0.1923,0.2987,4.5714,1.1601,3.0,15.0,0.0,17.0,1
2023-24,PASS,10,balanced,9,6,6,0.1282,0.1282,0.1282,2.3333,-0.9899,4.3333,-11.0,0.0,-10.0,1
2023-24,PASS,10,safe,10,5,5,0.2302,0.1518,0.2302,2.8,-0.4493,3.2,1.0,0.0,2.0,1
2023-24,PASS,11,balanced,9,6,6,0.308,0.308,0.308,4.0,0.9013,1.6667,13.0,0.0,14.0,1
2023-24,PASS,11,safe,10,5,5,0.2519,0.1659,0.2519,3.0,-0.0459,1.8,13.0,0.0,13.0,1
2023-24,PASS,12,balanced,11,4,4,0.2264,0.2264,0.2264,2.5,-0.7659,5.5,-13.0,0.0,-13.0,1
2023-24,PASS,12,safe,12,3,3,0.0601,0.0401,0.0601,1.0,-1.3913,1.0,1.0,0.0,1.0,1
2023-24,PASS,13,balanced,12,3,3,0.3013,0.3013,0.3013,2.6667,-0.5543,2.0,2.0,0.0,2.0,1
2023-24,PASS,13,safe,12,3,3,0.1513,0.0924,0.1513,1.3333,-1.4472,2.3333,0.0,0.0,0.0,1
2023-24,PASS,14,balanced,11,4,4,0.0878,0.0878,0.0878,3.75,0.9168,3.75,-3.0,0.0,-3.0,1
2023-24,PASS,14,safe,11,4,4,0.1463,0.0953,0.1463,3.75,0.9436,3.75,-7.0,0.0,-7.0,1
2023-24,PASS,15,balanced,11,4,4,0.403,0.403,0.403,3.5,0.1938,1.5,6.0,0.0,3.0,1
2023-24,PASS,15,safe,11,4,4,0.439,0.2207,0.439,4.5,1.1734,1.5,5.0,0.0,7.0,1
2023-24,PASS,16,balanced,13,2,2,0.2698,0.2698,0.2698,3.0,0.023,1.0,4.0,0.0,4.0,1
2023-24,PASS,16,safe,11,4,4,0.2939,0.1678,0.2939,2.0,-1.2756,5.75,-6.0,0.0,-6.0,1
2023-24,PASS,17,balanced,14,1,1,0.2592,0.2592,0.2592,1.0,-1.168,0.0,0.0,0.0,0.0,0
2023-24,PASS,17,safe,11,4,4,0.1364,0.0718,0.1364,2.75,0.1916,1.0,5.0,0.0,5.0,1
2023-24,PASS,18,balanced,12,3,3,0.0808,0.0808,0.0808,1.6667,-1.3476,1.0,1.0,0.0,1.0,1
2023-24,PASS,18,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-24,PASS,19,balanced,10,5,5,0.1715,0.1715,0.1715,4.0,0.699,1.4,7.0,0.0,22.0,1
2023-24,PASS,19,safe,11,4,4,0.1528,0.1052,0.1528,4.25,1.0004,1.5,6.0,-1.0,21.0,1
2023-24,PASS,20,balanced,11,4,4,0.2301,0.2301,0.2301,2.5,-0.3528,1.0,5.0,0.0,5.0,1
2023-24,PASS,20,safe,11,4,4,0.2301,0.1104,0.2301,2.5,-0.3528,1.0,5.0,0.0,5.0,1
2023-24,PASS,21,balanced,13,2,2,0.1006,0.1006,0.1006,0.5,-2.9882,3.0,-3.0,0.0,-3.0,1
2023-24,PASS,21,safe,13,2,2,0.0188,0.0047,0.0188,0.5,-2.5768,2.0,0.0,0.0,0.0,0
2023-24,PASS,22,balanced,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-24,PASS,22,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1
2023-24,PASS,23,balanced,13,2,2,0.3232,0.3232,0.3232,8.5,5.319,1.0,0.0,0.0,0.0,1
2023-24,PASS,23,safe,14,1,1,0.0924,0.0519,0.0924,-1.0,-3.8844,1.0,-2.0,-2.0,0.0,1
2023-24,PASS,24,balanced,9,6,6,0.1927,0.1927,0.1927,4.1667,0.7901,1.1667,7.0,-2.0,7.0,1
2023-24,PASS,24,safe,10,5,5,0.2114,0.1302,0.2114,6.2,2.395,4.0,-1.0,0.0,-1.0,1
2023-24,PASS,25,balanced,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-24,PASS,25,safe,12,3,3,0.0636,0.0395,0.0636,2.0,-1.7887,5.6667,4.0,0.0,4.0,1
2023-24,PASS,26,balanced,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-24,PASS,26,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-24,PASS,27,balanced,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-24,PASS,27,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-24,PASS,28,balanced,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-24,PASS,28,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-24,PASS,29,balanced,14,1,1,0.1532,0.1532,0.1532,1.0,-1.882,8.0,0.0,0.0,0.0,0
2023-24,PASS,29,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-24,PASS,30,balanced,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-24,PASS,30,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-24,PASS,31,balanced,14,1,1,0.0876,0.0876,0.0876,6.0,3.2388,6.0,0.0,0.0,0.0,0
2023-24,PASS,31,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-24,PASS,32,balanced,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-24,PASS,32,safe,12,3,3,0.0,0.0,0.0,1.6667,-1.8609,3.3333,0.0,0.0,0.0,1
2023-24,PASS,33,balanced,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-24,PASS,33,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-24,PASS,34,balanced,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-24,PASS,34,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,1
2023-24,PASS,35,balanced,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-24,PASS,35,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-24,PASS,36,balanced,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-24,PASS,36,safe,11,4,4,0.0562,0.0175,0.0562,4.0,0.5317,4.75,-1.0,0.0,-1.0,1
2023-24,PASS,37,balanced,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-24,PASS,37,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-24,PASS,38,balanced,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-24,PASS,38,safe,11,4,4,0.0741,0.0342,0.0741,1.75,-1.4227,2.25,0.0,0.0,0.0,1
2024-25,PASS,1,balanced,10,5,5,0.8085,0.8085,0.8085,4.0,1.4528,2.0,8.0,0.0,8.0,1
2024-25,PASS,1,safe,10,5,5,0.8498,0.4529,0.8498,4.0,1.1578,2.0,8.0,0.0,8.0,1
2024-25,PASS,2,balanced,10,5,5,0.3546,0.3546,0.3546,1.6,-0.7838,0.6,8.0,0.0,8.0,1
2024-25,PASS,2,safe,12,3,3,0.5743,0.3086,0.5743,4.6667,1.5711,0.0,6.0,0.0,6.0,1
2024-25,PASS,3,balanced,10,5,5,0.629,0.629,0.629,2.8,0.073,4.4,-10.0,0.0,-10.0,1
2024-25,PASS,3,safe,11,4,4,0.3302,0.2003,0.3302,2.75,0.4509,0.25,11.0,0.0,11.0,1
2024-25,PASS,4,balanced,11,4,4,0.7991,0.7991,0.7991,1.5,-1.2295,0.75,-3.0,-5.0,2.0,1
2024-25,PASS,4,safe,14,1,1,0.8304,0.5094,0.8304,1.0,-2.2432,0.0,-5.0,-4.0,1.0,1
2024-25,PASS,5,balanced,9,6,6,0.7679,0.7679,0.7679,4.5,1.0494,2.3333,11.0,-7.0,11.0,1
2024-25,PASS,5,safe,8,7,7,0.6956,0.4067,0.6956,4.0,0.6645,2.2857,11.0,0.0,11.0,1
2024-25,PASS,6,balanced,9,6,6,0.5106,0.5106,0.5106,2.5,-0.6567,2.8333,-3.0,0.0,-3.0,1
2024-25,PASS,6,safe,11,4,4,0.5347,0.2991,0.5347,1.25,-1.9589,3.25,-1.0,8.0,-1.0,1
2024-25,PASS,7,balanced,10,5,5,0.3522,0.3522,0.3522,3.6,0.4263,4.4,-5.0,0.0,-10.0,1
2024-25,PASS,7,safe,11,4,4,0.4377,0.2597,0.4377,3.25,-0.4136,6.25,-15.0,0.0,-15.0,1
2024-25,PASS,8,balanced,10,5,5,0.8945,0.8945,0.8945,2.8,-0.8778,1.6,2.0,0.0,5.0,1
2024-25,PASS,8,safe,8,7,7,0.5274,0.3099,0.5274,2.7143,-0.9985,1.4286,0.0,0.0,9.0,1
2024-25,PASS,9,balanced,13,2,2,0.081,0.081,0.081,4.0,1.4248,1.0,6.0,0.0,6.0,1
2024-25,PASS,9,safe,14,1,1,0.0,0.0,0.0,0.0,-3.6104,1.0,0.0,0.0,0.0,0
2024-25,PASS,10,balanced,9,6,6,0.4887,0.4887,0.4887,5.8333,2.3651,3.6667,0.0,0.0,9.0,1
2024-25,PASS,10,safe,11,4,4,0.7265,0.441,0.7265,5.0,1.3344,4.0,-5.0,0.0,15.0,1
2024-25,PASS,11,balanced,12,3,3,0.3627,0.3627,0.3627,1.6667,-1.5175,8.0,-15.0,0.0,-15.0,1
2024-25,PASS,11,safe,13,2,2,0.3676,0.23,0.3676,2.0,-1.0338,3.5,1.0,0.0,1.0,1
2024-25,PASS,12,balanced,13,2,2,0.1728,0.1728,0.1728,3.5,0.6518,1.5,6.0,0.0,6.0,1
2024-25,PASS,12,safe,14,1,1,0.1488,0.1093,0.1488,1.0,-1.9524,0.0,1.0,0.0,1.0,1
2024-25,PASS,13,balanced,11,4,4,0.2312,0.2312,0.2312,5.0,1.6729,4.0,0.0,0.0,-6.0,1
2024-25,PASS,13,safe,10,5,5,0.3081,0.1809,0.3081,9.0,5.5578,2.6,24.0,0.0,16.0,1
2024-25,PASS,14,balanced,9,6,6,0.1925,0.196,0.1925,3.3333,0.2623,3.0,2.0,0.0,2.0,1
2024-25,PASS,14,safe,11,4,4,0.31,0.2005,0.31,4.25,0.6837,1.75,14.0,0.0,14.0,1
2024-25,PASS,15,balanced,12,3,3,0.0967,0.0967,0.0967,4.0,1.5827,1.3333,9.0,6.0,7.0,1
2024-25,PASS,15,safe,12,3,3,0.2611,0.1446,0.2611,4.3333,0.9359,3.0,3.0,0.0,1.0,1
2024-25,PASS,16,balanced,10,5,5,0.322,0.322,0.322,0.8,-2.109,2.6,-11.0,-1.0,-11.0,1
2024-25,PASS,16,safe,10,5,5,0.322,0.1939,0.322,0.8,-2.1018,2.6,-11.0,0.0,-6.0,1
2024-25,PASS,17,balanced,12,3,3,0.0496,0.0496,0.0496,-0.3333,-2.8945,1.0,-1.0,0.0,-1.0,1
2024-25,PASS,17,safe,12,3,3,0.1061,0.0676,0.1061,3.0,0.0819,1.0,-1.0,0.0,-1.0,1
2024-25,PASS,18,balanced,13,2,2,0.5784,0.5784,0.5784,4.0,0.6372,1.0,1.0,0.0,1.0,1
2024-25,PASS,18,safe,13,2,2,0.5088,0.3134,0.5088,4.0,0.6426,9.0,-10.0,0.0,-10.0,1
2024-25,PASS,19,balanced,11,4,4,0.182,0.182,0.182,3.75,0.71,1.0,9.0,0.0,13.0,1
2024-25,PASS,19,safe,13,2,2,0.0828,0.0453,0.0828,4.0,0.8976,1.0,9.0,8.0,9.0,1
2024-25,PASS,20,balanced,13,2,2,0.3504,0.3504,0.3504,4.5,2.3504,5.5,-2.0,0.0,-2.0,1
2024-25,PASS,20,safe,11,4,4,0.3081,0.186,0.3081,6.0,2.3364,2.25,16.0,0.0,16.0,1
2024-25,PASS,21,balanced,10,5,5,0.1638,0.1638,0.1638,1.8,-1.5237,1.8,0.0,0.0,0.0,1
2024-25,PASS,21,safe,12,3,3,0.2783,0.1701,0.2783,1.3333,-1.9683,10.0,-8.0,0.0,-8.0,1
2024-25,PASS,22,balanced,11,4,4,0.125,0.125,0.125,0.5,-2.7846,3.75,-13.0,0.0,-13.0,1
2024-25,PASS,22,safe,11,4,4,0.0576,0.0219,0.0576,0.75,-2.4331,3.75,-12.0,0.0,-12.0,1
2024-25,PASS,23,balanced,14,1,1,0.458,0.458,0.458,1.0,-2.6932,2.0,-1.0,0.0,-1.0,1
2024-25,PASS,23,safe,12,3,3,0.2425,0.1316,0.2425,3.3333,-0.1883,5.6667,-7.0,0.0,-7.0,1
2024-25,PASS,24,balanced,11,4,4,0.1542,0.1542,0.1542,5.0,1.2274,8.5,-3.0,0.0,-3.0,1
2024-25,PASS,24,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024-25,PASS,25,balanced,14,1,1,0.0972,0.0972,0.0972,1.0,-1.4772,1.0,0.0,0.0,0.0,0
2024-25,PASS,25,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024-25,PASS,26,balanced,11,4,4,0.3033,0.3033,0.3033,5.25,1.6648,1.0,17.0,0.0,17.0,1
2024-25,PASS,26,safe,12,3,3,0.3613,0.2169,0.3613,2.3333,-1.1209,0.6667,5.0,0.0,5.0,1
2024-25,PASS,27,balanced,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024-25,PASS,27,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024-25,PASS,28,balanced,10,5,5,0.2278,0.2278,0.2278,6.4,3.457,3.0,-6.0,0.0,-6.0,1
2024-25,PASS,28,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024-25,PASS,29,balanced,12,3,3,0.5043,0.5043,0.5043,1.6667,-1.8136,0.6667,2.0,0.0,2.0,1
2024-25,PASS,29,safe,12,3,3,0.2524,0.1373,0.2524,2.0,-1.4423,0.6667,2.0,0.0,3.0,1
2024-25,PASS,30,balanced,10,5,5,0.2549,0.2549,0.2549,1.4,-1.7506,5.0,1.0,0.0,1.0,1
2024-25,PASS,30,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024-25,PASS,31,balanced,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024-25,PASS,31,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024-25,PASS,32,balanced,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024-25,PASS,32,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024-25,PASS,33,balanced,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024-25,PASS,33,safe,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024-25,PASS,34,balanced,12,3,3,0.1252,0.1252,0.1252,2.0,-1.5964,5.3333,2.0,8.0,2.0,1
