season,e024_gate,gw,strategy,delta_u_pred,delta_xi_picked,delta_xi_oracle,delta_mu_xi,delta_u_xi,treat_picked_regret,ctrl_picked_regret,squad_xi_agree,xi_changed,picked_eq_oracle_treat
2023-24,PASS,24,safe,0.0337,-1.0,10.0,0.3048,0.1136,-15.0,-4.0,1,1,0
2023-24,PASS,25,balanced,1.0432,0.0,0.0,1.2872,1.2004,-11.0,-11.0,1,0,0
2023-24,PASS,25,safe,0.8141,4.0,-5.0,1.2228,0.8889,-2.0,-11.0,1,1,0
2023-24,PASS,26,balanced,0.0872,0.0,0.0,0.0436,0.0436,-7.0,-7.0,1,0,0
2023-24,PASS,26,safe,0.0683,0.0,0.0,0.0436,0.0341,-3.0,-3.0,1,0,0
2023-24,PASS,27,balanced,0.2712,0.0,0.0,0.1356,0.1356,-16.0,-16.0,1,0,0
2023-24,PASS,27,safe,0.2383,0.0,0.0,0.1356,0.1192,-17.0,-17.0,1,0,0
2023-24,PASS,28,balanced,0.0143,0.0,0.0,0.0472,0.0143,-3.0,-3.0,1,0,0
2023-24,PASS,28,safe,-0.0431,0.0,0.0,-0.02,-0.0431,-3.0,-3.0,1,0,0
2023-24,PASS,29,balanced,0.0,0.0,-7.0,0.0,0.0,-9.0,-16.0,1,0,0
2023-24,PASS,29,safe,0.0,0.0,0.0,0.0,0.0,-9.0,-9.0,1,0,0
2023-24,PASS,30,balanced,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,1,0,0
2023-24,PASS,30,safe,0.0005,0.0,0.0,0.0084,0.0005,-26.0,-26.0,1,0,0
2023-24,PASS,31,balanced,0.1048,0.0,0.0,0.1048,0.1048,-9.0,-9.0,1,0,0
2023-24,PASS,31,safe,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,1,0,0
2023-24,PASS,32,balanced,0.0196,0.0,0.0,0.0196,0.0196,-6.0,-6.0,1,0,0
2023-24,PASS,32,safe,-0.033,0.0,-3.0,-0.2404,-0.033,-15.0,-18.0,1,1,0
2023-24,PASS,33,balanced,0.0736,0.0,0.0,0.0736,0.0736,-2.0,-2.0,1,0,0
2023-24,PASS,33,safe,0.0,0.0,0.0,0.0,0.0,-10.0,-10.0,1,0,0
2023-24,PASS,34,balanced,0.1656,0.0,0.0,0.1656,0.1656,-10.0,-10.0,1,0,0
2023-24,PASS,34,safe,0.0097,12.0,0.0,0.0468,0.0097,-28.0,-40.0,1,1,0
2023-24,PASS,35,balanced,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,1,0,0
2023-24,PASS,35,safe,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0
2023-24,PASS,36,balanced,0.0488,0.0,0.0,0.0488,0.0488,-2.0,-2.0,1,0,0
2023-24,PASS,36,safe,-0.0468,-1.0,-4.0,-0.0428,-0.0468,-8.0,-11.0,1,1,0
2023-24,PASS,37,balanced,0.0,0.0,0.0,0.0,0.0,-28.0,-28.0,1,0,0
2023-24,PASS,37,safe,0.0,0.0,0.0,0.0,0.0,-28.0,-28.0,1,0,0
2023-24,PASS,38,balanced,0.0748,0.0,0.0,0.0748,0.0748,-5.0,-5.0,1,0,0
2023-24,PASS,38,safe,0.091,0.0,-2.0,-0.2232,0.091,-6.0,-8.0,1,1,0
2024-25,PASS,1,balanced,7.8932,8.0,10.0,6.4336,6.4336,-3.0,-1.0,1,1,0
2024-25,PASS,1,safe,4.8596,8.0,10.0,6.4964,3.9208,-2.0,0.0,1,1,0
2024-25,PASS,2,balanced,3.0328,8.0,5.0,3.0328,3.0328,0.0,-3.0,1,1,0
2024-25,PASS,2,safe,1.331,6.0,14.0,2.486,1.331,-8.0,0.0,1,1,0
2024-25,PASS,3,balanced,3.6832,-10.0,-8.0,2.5712,2.5712,-2.0,0.0,1,1,0
2024-25,PASS,3,safe,2.2501,11.0,10.0,3.6356,1.8347,0.0,-1.0,1,1,0
2024-25,PASS,4,balanced,2.2748,-3.0,3.0,2.2992,2.2992,-9.0,-3.0,1,1,0
2024-25,PASS,4,safe,1.2193,-5.0,1.0,2.5432,1.2584,-7.0,-1.0,1,1,0
2024-25,PASS,5,balanced,5.8512,11.0,13.0,5.722,5.722,-3.0,-1.0,1,1,0
2024-25,PASS,5,safe,3.4256,11.0,12.0,5.722,3.3441,-3.0,-2.0,1,1,0
2024-25,PASS,6,balanced,4.0704,-3.0,0.0,3.2224,3.2224,-5.0,-2.0,1,1,0
2024-25,PASS,6,safe,1.8821,-1.0,-7.0,3.2732,1.8821,-5.0,-11.0,1,1,0
2024-25,PASS,7,balanced,3.2832,-5.0,-4.0,3.0152,3.0152,-7.0,-6.0,1,1,0
2024-25,PASS,7,safe,1.7486,-15.0,-14.0,2.8108,1.6742,-8.0,-7.0,1,1,0
2024-25,PASS,8,balanced,4.1444,2.0,1.0,3.6964,3.6964,-9.0,-10.0,1,1,0
2024-25,PASS,8,safe,2.0202,0.0,5.0,3.7304,1.8029,-15.0,-10.0,1,1,0
2024-25,PASS,9,balanced,3.2464,6.0,6.0,2.8484,2.8484,0.0,0.0,1,1,0
2024-25,PASS,9,safe,2.0498,0.0,0.0,2.8748,1.7731,0.0,0.0,1,0,0
2024-25,PASS,10,balanced,4.4248,0.0,13.0,3.8788,3.8788,-23.0,-10.0,1,1,0
2024-25,PASS,10,safe,2.5249,-5.0,5.0,4.18,2.1507,-23.0,-13.0,1,1,0
2024-25,PASS,11,balanced,3.3724,-15.0,-19.0,3.0584,3.0584,-1.0,-5.0,1,1,0
2024-25,PASS,11,safe,1.9856,1.0,-3.0,3.0736,1.7842,-1.0,-5.0,1,1,0
2024-25,PASS,12,balanced,2.5148,6.0,5.0,2.3888,2.4176,-2.0,-3.0,1,1,0
2024-25,PASS,12,safe,1.4986,1.0,0.0,2.4216,1.4641,-3.0,-4.0,1,1,0
2024-25,PASS,13,balanced,2.388,0.0,3.0,2.2428,2.2428,-3.0,0.0,1,1,0
2024-25,PASS,13,safe,1.1305,24.0,28.0,1.9968,1.0574,-6.0,-2.0,1,1,0
2024-25,PASS,14,balanced,2.4768,2.0,2.0,2.3064,2.3064,0.0,0.0,1,1,0
2024-25,PASS,14,safe,1.5349,14.0,14.0,2.6168,1.4734,0.0,0.0,1,1,1
2024-25,PASS,15,balanced,2.0384,9.0,8.0,1.8192,1.8192,-6.0,-7.0,1,1,0
2024-25,PASS,15,safe,0.9411,3.0,3.0,1.428,0.8381,-1.0,-1.0,1,1,0
2024-25,PASS,16,balanced,2.6804,-11.0,-4.0,2.4512,2.4512,-7.0,0.0,1,1,0
2024-25,PASS,16,safe,1.496,-11.0,-4.0,2.4512,1.3621,-7.0,0.0,1,1,0
2024-25,PASS,17,balanced,1.9302,-1.0,-3.0,1.712,1.7098,-2.0,-4.0,1,1,0
2024-25,PASS,17,safe,0.9437,-1.0,6.0,1.7484,0.8697,-10.0,-3.0,1,1,0
2024-25,PASS,18,balanced,2.2172,1.0,6.0,2.066,2.066,-6.0,-1.0,1,1,0
2024-25,PASS,18,safe,1.3186,-10.0,-10.0,2.018,1.2428,-10.0,-10.0,1,1,0
2024-25,PASS,19,balanced,0.8076,9.0,12.0,0.7676,0.7676,-5.0,-2.0,1,1,0
2024-25,PASS,19,safe,0.5585,9.0,6.0,0.7196,0.5041,-7.0,-10.0,1,1,0
2024-25,PASS,20,balanced,1.1684,-2.0,-2.0,1.1008,1.1008,-2.0,-2.0,1,1,0
2024-25,PASS,20,safe,0.8246,16.0,14.0,1.4228,0.8139,-2.0,-4.0,1,1,0
2024-25,PASS,21,balanced,0.6796,0.0,1.0,0.6164,0.6164,-3.0,-2.0,1,1,0
2024-25,PASS,21,safe,0.4895,-8.0,-25.0,0.6496,0.4776,-5.0,-22.0,1,1,0
2024-25,PASS,22,balanced,-0.1592,-13.0,-11.0,-0.1112,-0.1112,-2.0,0.0,1,1,0
2024-25,PASS,22,safe,-0.1164,-12.0,-10.0,-0.2764,-0.0924,-3.0,-1.0,1,1,0
2024-25,PASS,23,balanced,0.5236,-1.0,0.0,0.5236,0.5236,-10.0,-9.0,1,1,0
2024-25,PASS,23,safe,0.2807,-7.0,-6.0,0.418,0.2807,-3.0,-2.0,1,1,0
2024-25,PASS,24,balanced,0.5136,-3.0,-14.0,0.5136,0.5136,-12.0,-23.0,1,1,0
2024-25,PASS,24,safe,0.6452,0.0,0.0,0.7876,0.6452,-3.0,-3.0,1,0,0
2024-25,PASS,25,balanced,0.4268,0.0,0.0,0.3112,0.4268,0.0,0.0,1,0,1
2024-25,PASS,25,safe,0.2988,0.0,0.0,0.3112,0.2988,0.0,0.0,1,0,1
2024-25,PASS,26,balanced,0.5348,17.0,17.0,0.5348,0.5348,0.0,0.0,1,1,0
2024-25,PASS,26,safe,0.3801,5.0,5.0,0.3728,0.3801,0.0,0.0,1,1,0
2024-25,PASS,27,balanced,0.0,0.0,0.0,0.0,0.0,-10.0,-10.0,1,0,0
2024-25,PASS,27,safe,0.0,0.0,0.0,0.0,0.0,-10.0,-10.0,1,0,0
2024-25,PASS,28,balanced,-0.01,-6.0,15.0,-0.01,-0.01,-24.0,-3.0,1,1,0
2024-25,PASS,28,safe,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,1,0,0
2024-25,PASS,29,balanced,0.3192,2.0,2.0,0.3192,0.3192,-3.0,-3.0,1,1,0
2024-25,PASS,29,safe,0.0015,2.0,2.0,0.382,0.0015,-3.0,-3.0,1,1,0
2024-25,PASS,30,balanced,-0.1172,1.0,-16.0,-0.1172,-0.1172,-1.0,-18.0,1,1,0
2024-25,PASS,30,safe,0.0,0.0,0.0,0.0,0.0,-21.0,-21.0,1,0,0
2024-25,PASS,31,balanced,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,1,0,0
2024-25,PASS,31,safe,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0
2024-25,PASS,32,balanced,0.0,0.0,0.0,0.0,0.0,-19.0,-19.0,1,0,0
2024-25,PASS,32,safe,0.0,0.0,0.0,0.0,0.0,-9.0,-9.0,1,0,0
2024-25,PASS,33,balanced,0.0692,0.0,0.0,0.0692,0.0692,-2.0,-2.0,1,0,0
2024-25,PASS,33,safe,-0.0063,0.0,0.0,0.0692,-0.0063,-9.0,-9.0,1,0,0
2024-25,PASS,34,balanced,0.0228,2.0,-9.0,0.0228,0.0228,-8.0,-19.0,1,1,0
2024-25,PASS,34,safe,0.0,0.0,0.0,0.0,0.0,-21.0,-21.0,1,0,0
2024-25,PASS,35,balanced,0.0,0.0,0.0,0.0,0.0,-9.0,-9.0,1,0,0
2024-25,PASS,35,safe,0.0,0.0,0.0,0.0,0.0,-15.0,-15.0,1,0,0
2024-25,PASS,36,balanced,0.0,0.0,0.0,0.0,0.0,-11.0,-11.0,1,0,0
2024-25,PASS,36,safe,0.0,0.0,0.0,0.0,0.0,-11.0,-11.0,1,0,0
2024-25,PASS,37,balanced,0.0,0.0,0.0,0.0,0.0,-9.0,-9.0,1,0,0
2024-25,PASS,37,safe,0.0,0.0,0.0,0.0,0.0,-14.0,-14.0,1,0,0
2024-25,PASS,38,balanced,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0
2024-25,PASS,38,safe,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,1,0,0
2025-26,FAIL,1,balanced,6.5924,-3.0,-3.0,6.1012,6.1012,0.0,0.0,1,1,0
2025-26,FAIL,1,safe,3.8356,7.0,7.0,6.2608,3.504,0.0,0.0,1,1,0
2025-26,FAIL,2,balanced,0.6896,0.0,3.0,0.5928,0.5928,-3.0,0.0,1,1,0
2025-26,FAIL,2,safe,0.4657,-2.0,-2.0,1.0824,0.4657,-1.0,-1.0,1,1,0
2025-26,FAIL,3,balanced,0.8028,-3.0,-7.0,0.8028,0.8028,-3.0,-7.0,1,1,0
2025-26,FAIL,3,safe,0.5127,-3.0,-6.0,0.6292,0.5127,-3.0,-6.0,1,1,0
2025-26,FAIL,4,balanced,2.356,6.0,9.0,2.356,2.356,-6.0,-3.0,1,1,0
2025-26,FAIL,4,safe,1.2837,6.0,15.0,2.356,1.2837,-10.0,-1.0,1,1,0
2025-26,FAIL,5,balanced,2.25,-5.0,-2.0,2.036,2.036,-8.0,-5.0,1,1,0
2025-26,FAIL,5,safe,1.0577,3.0,5.0,1.9916,0.9416,-7.0,-5.0,1,1,0
2025-26,FAIL,6,balanced,1.8024,-6.0,-20.0,2.038,1.6364,-10.0,-24.0,1,1,0
2025-26,FAIL,6,safe,1.0202,-7.0,-17.0,2.646,0.9276,-10.0,-20.0,1,1,0
2025-26,FAIL,7,balanced,1.7294,-4.0,-4.0,1.9892,1.6406,-4.0,-4.0,1,1,0
2025-26,FAIL,7,safe,0.6254,-9.0,-12.0,1.698,0.5825,-2.0,-5.0,1,1,0
2025-26,FAIL,8,balanced,1.472,5.0,7.0,1.3936,1.3936,-7.0,-5.0,1,1,0
2025-26,FAIL,8,safe,0.6624,-10.0,-3.0,1.1836,0.5938,-13.0,-6.0,1,1,0
2025-26,FAIL,9,balanced,1.4753,1.0,16.0,2.2948,1.4613,-19.0,-4.0,1,1,0
2025-26,FAIL,9,safe,0.3574,0.0,0.0,0.65,0.3624,-22.0,-22.0,1,0,0
2025-26,FAIL,10,balanced,2.1412,-8.0,2.0,2.168,2.168,-16.0,-6.0,1,1,0
2025-26,FAIL,10,safe,0.9328,1.0,1.0,2.2256,0.9659,-6.0,-6.0,1,1,0
2025-26,FAIL,11,balanced,0.8572,24.0,21.0,1.8908,0.8924,-7.0,-10.0,1,1,0
2025-26,FAIL,11,safe,0.2159,5.0,7.0,0.2524,0.2654,-21.0,-19.0,1,1,0
2025-26,FAIL,12,balanced,1.0852,1.0,1.0,1.0864,1.0864,-4.0,-4.0,1,1,0
2025-26,FAIL,12,safe,0.2655,3.0,2.0,0.9504,0.265,-11.0,-12.0,1,1,0
2025-26,FAIL,13,balanced,1.1284,-12.0,-8.0,1.8484,1.0328,-6.0,-2.0,1,1,0
2025-26,FAIL,13,safe,0.436,6.0,2.0,1.1096,0.3808,-4.0,-8.0,1,1,0
2025-26,FAIL,14,balanced,0.924,0.0,-1.0,0.8852,0.8852,-4.0,-5.0,1,1,0
2025-26,FAIL,14,safe,0.7514,-3.0,-5.0,1.2248,0.729,-3.0,-5.0,1,1,0
2025-26,FAIL,15,balanced,1.5718,4.0,2.0,1.988,1.5266,-1.0,-3.0,1,1,0
2025-26,FAIL,15,safe,0.8183,9.0,8.0,1.3812,0.7886,-8.0,-9.0,1,1,0
